Date,Open,High,Low,Close,Volume
2022-01-03,4.44,4.4445,4.35,4.4145,544
2022-01-04,4.385,4.466,4.374,4.466,499
2022-01-05,4.4485,4.4485,4.371,4.4045,724
2022-01-06,4.369,4.37,4.3205,4.348,522
2022-01-07,4.377,4.403,4.356,4.403,618
2022-01-10,4.389,4.41,4.325,4.3445,787
2022-01-11,4.3935,4.4205,4.372,4.4205,554
2022-01-12,4.419,4.581,4.419,4.564,1192
2022-01-13,4.564,4.564,4.534,4.534,991
2022-01-14,4.4095,4.437,4.4095,4.4115,1236
2022-01-18,4.4195,4.4255,4.376,4.376,1000
2022-01-19,4.476,4.476,4.4625,4.4625,1172
2022-01-20,4.5185,4.5765,4.5185,4.5765,1441
2022-01-21,4.518,4.5415,4.496,4.5125,1052
2022-01-24,4.485,4.485,4.3865,4.403,1533
2022-01-25,4.432,4.443,4.432,4.443,469
2022-01-26,4.507,4.508,4.4345,4.5045,873
2022-01-27,4.4175,4.4635,4.413,4.413,1211
2022-01-28,4.4225,4.429,4.2945,4.303,1471
2022-01-31,4.308,4.3335,4.2785,4.318,882
2022-02-01,4.3545,4.4315,4.3545,4.429,859
2022-02-02,4.434,4.491,4.4315,4.491,422
2022-02-03,4.4675,4.47,4.4645,4.4665,500
2022-02-04,4.492,4.5065,4.4765,4.4835,444
2022-02-07,4.4705,4.4725,4.436,4.4615,686
2022-02-08,4.453,4.469,4.425,4.4595,398
2022-02-09,4.464,4.635,4.464,4.6005,425
2022-02-10,4.612,4.691,4.612,4.6575,415
2022-02-11,4.6045,4.6045,4.4795,4.505,489
2022-02-14,4.471,4.5075,4.471,4.5075,420
2022-02-15,4.5075,4.5315,4.4865,4.5315,310
2022-02-16,4.5405,4.5405,4.536,4.5405,577
2022-02-17,4.5185,4.525,4.5185,4.525,516
2022-02-18,4.5195,4.5195,4.5195,4.5195,647
2022-02-22,4.5195,4.5195,4.51,4.51,818
2022-02-23,4.506,4.5205,4.4815,4.4815,975
2022-02-24,4.4785,4.4785,4.454,4.454,50571
2022-02-25,4.5,4.52,4.4485,4.472,14457
2022-02-28,4.456,4.5155,4.44,4.4445,1803
2022-03-01,4.4965,4.588,4.481,4.5865,1777
2022-03-02,4.563,4.69,4.553,4.6555,1446
2022-03-03,4.7,4.7825,4.698,4.7715,1055
2022-03-04,4.768,4.929,4.7665,4.929,1241
2022-03-07,4.91,5.01,4.66,4.722,987
2022-03-08,4.73,4.919,4.602,4.7005,1207
2022-03-09,4.717,4.719,4.546,4.564,944
2022-03-10,4.58,4.6495,4.574,4.6435,1067
2022-03-11,4.6085,4.6875,4.585,4.616,970
2022-03-14,4.6005,4.6005,4.494,4.5125,743
2022-03-15,4.492,4.525,4.46,4.5015,788
2022-03-16,4.4925,4.61,4.4925,4.588,664
2022-03-17,4.6525,4.6905,4.623,4.6905,939
2022-03-18,4.7005,4.7305,4.686,4.7305,685
2022-03-21,4.7,4.7065,4.6495,4.7015,555
2022-03-22,4.6815,4.7255,4.6815,4.689,488
2022-03-23,4.685,4.763,4.683,4.7625,490
2022-03-24,4.7685,4.8,4.706,4.729,893
2022-03-25,4.692,4.7025,4.683,4.686,667
2022-03-28,4.65,4.714,4.633,4.714,470
2022-03-29,4.7165,4.7165,4.7165,4.7165,333
2022-03-30,4.7815,4.7815,4.727,4.7395,1146
2022-03-31,4.73,4.7445,4.701,4.743,708
2022-04-01,4.7245,4.729,4.681,4.6825,1077
2022-04-04,4.7075,4.781,4.7075,4.7765,473
2022-04-05,4.8085,4.8085,4.791,4.791,377
2022-04-06,4.7625,4.7725,4.6975,4.7335,379
2022-04-07,4.711,4.711,4.685,4.695,328
2022-04-08,4.723,4.745,4.707,4.72,327
2022-04-11,4.6825,4.7065,4.623,4.6285,352
2022-04-12,4.666,4.706,4.6645,4.704,343
2022-04-13,4.707,4.707,4.707,4.707,480
2022-04-14,4.717,4.717,4.717,4.717,982
2022-04-18,4.75,4.809,4.75,4.796,498
2022-04-19,4.7975,4.7975,4.697,4.714,573
2022-04-20,4.623,4.6495,4.623,4.6495,859
2022-04-21,4.7035,4.7035,4.7035,4.7035,614
2022-04-22,4.5825,4.591,4.5765,4.5825,663
2022-04-25,4.48,4.48,4.411,4.449,494
2022-04-26,4.4765,4.4765,4.434,4.44,359
2022-04-27,4.446,4.4545,4.4425,4.4545,24293
2022-04-28,4.446,4.4695,4.3665,4.4135,4363
2022-04-29,4.423,4.485,4.363,4.395,1147
2022-05-02,4.3805,4.3855,4.19,4.2555,1034
2022-05-03,4.277,4.344,4.2575,4.271,878
2022-05-04,4.29,4.364,4.24,4.3285,1065
2022-05-05,4.3985,4.42,4.2785,4.285,778
2022-05-06,4.293,4.299,4.23,4.2615,1207
2022-05-09,4.23,4.23,4.1265,4.193,1019
2022-05-10,4.1735,4.251,4.13,4.1545,908
2022-05-11,4.155,4.245,4.155,4.2125,723
2022-05-12,4.1975,4.1975,4.056,4.105,783
2022-05-13,4.1085,4.1805,4.068,4.1805,1133
2022-05-16,4.21,4.2145,4.15,4.1965,575
2022-05-17,4.2405,4.2795,4.2125,4.2395,780
2022-05-18,4.241,4.243,4.15,4.182,689
2022-05-19,4.1815,4.285,4.1815,4.285,587
2022-05-20,4.256,4.32,4.256,4.281,577
2022-05-23,4.305,4.3485,4.29,4.3475,577
2022-05-24,4.3245,4.3415,4.26,4.3255,969
2022-05-25,4.2695,4.2935,4.2615,4.277,503
2022-05-26,4.2575,4.2575,4.255,4.255,842
2022-05-27,4.269,4.321,4.255,4.304,1475
2022-05-31,4.341,4.349,4.289,4.295,323
2022-06-01,4.28,4.346,4.28,4.33,886
2022-06-02,4.389,4.554,4.389,4.554,343
2022-06-03,4.55,4.5675,4.4725,4.4775,377
2022-06-06,4.4175,4.4425,4.4175,4.4395,230
2022-06-07,4.3935,4.4395,4.381,4.4395,319
2022-06-08,4.435,4.4585,4.412,4.4585,271
2022-06-09,4.44,4.44,4.3855,4.389,374
2022-06-10,4.34,4.34,4.293,4.301,385
2022-06-13,4.2395,4.262,4.19,4.2165,718
2022-06-14,4.2,4.217,4.137,4.1615,454
2022-06-15,4.1375,4.194,4.131,4.1675,687
2022-06-16,4.176,4.176,4.052,4.112,564
2022-06-17,4.1,4.1,4.0155,4.0175,657
2022-06-21,3.965,4.065,3.965,4.043,453
2022-06-22,3.8915,3.9535,3.8905,3.9515,443
2022-06-23,3.854,3.86,3.7585,3.7585,533
2022-06-24,3.734,3.773,3.7,3.76,315
2022-06-27,3.791,3.803,3.75,3.779,375
2022-06-28,3.8115,3.8115,3.784,3.784,26394
2022-06-29,3.755,3.813,3.7075,3.779,4697
2022-06-30,3.778,3.781,3.6855,3.7145,1292
2022-07-01,3.685,3.704,3.571,3.619,1107
2022-07-05,3.608,3.618,3.4245,3.425,919
2022-07-06,3.4545,3.4635,3.37,3.418,927
2022-07-07,3.4645,3.582,3.4435,3.582,475
2022-07-08,3.5115,3.543,3.4755,3.532,639
2022-07-11,3.43,3.4785,3.398,3.4375,610
2022-07-12,3.4,3.409,3.26,3.2965,525
2022-07-13,3.3135,3.3325,3.23,3.3255,417
2022-07-14,3.269,3.2775,3.187,3.2105,591
2022-07-15,3.154,3.254,3.15,3.2345,420
2022-07-18,3.314,3.3605,3.314,3.348,558
2022-07-19,3.2905,3.294,3.2655,3.2915,467
2022-07-20,3.303,3.359,3.303,3.3295,598
2022-07-21,3.327,3.327,3.275,3.302,486
2022-07-22,3.324,3.3695,3.319,3.3485,432
2022-07-25,3.3215,3.4,3.3205,3.351,588
2022-07-26,3.4,3.4515,3.375,3.3825,367
2022-07-27,3.4295,3.4295,3.4295,3.4295,784
2022-07-28,3.476,3.507,3.4685,3.475,735
2022-07-29,3.495,3.601,3.491,3.584,724
2022-08-01,3.5805,3.5805,3.534,3.552,326
2022-08-02,3.5215,3.5245,3.4895,3.5245,479
2022-08-03,3.507,3.515,3.4695,3.4695,225
2022-08-04,3.46,3.5085,3.46,3.483,336
2022-08-05,3.52,3.5615,3.5095,3.553,236
2022-08-08,3.5875,3.5875,3.5875,3.5875,176
2022-08-09,3.601,3.601,3.59,3.5925,352
2022-08-10,3.6075,3.6555,3.6075,3.6555,246
2022-08-11,3.7105,3.7105,3.7105,3.7105,308
2022-08-12,3.662,3.676,3.662,3.676,367
2022-08-15,3.587,3.6335,3.583,3.629,366
2022-08-16,3.6045,3.6455,3.6045,3.6365,270
2022-08-17,3.613,3.613,3.598,3.598,289
2022-08-18,3.6465,3.6465,3.6465,3.6465,352
2022-08-19,3.6725,3.6835,3.666,3.6835,242
2022-08-22,3.702,3.703,3.669,3.6705,351
2022-08-23,3.713,3.7535,3.6985,3.7045,574
2022-08-24,3.655,3.6605,3.655,3.6605,539
2022-08-25,3.7015,3.72,3.695,3.7105,718
2022-08-26,3.784,3.785,3.697,3.7115,472
2022-08-29,3.665,3.665,3.6265,3.6265,22591
2022-08-30,3.6055,3.634,3.5315,3.545,7929
2022-08-31,3.5565,3.5805,3.4465,3.5185,1607
2022-09-01,3.5175,3.518,3.4125,3.4145,969
2022-09-02,3.423,3.4615,3.389,3.4215,804
2022-09-06,3.394,3.47,3.3825,3.469,785
2022-09-07,3.463,3.463,3.418,3.438,668
2022-09-08,3.4525,3.5575,3.4525,3.536,728
2022-09-09,3.579,3.6325,3.559,3.581,655
2022-09-12,3.5545,3.6315,3.552,3.6255,462
2022-09-13,3.6255,3.6975,3.55,3.581,699
2022-09-14,3.5575,3.572,3.527,3.5455,525
2022-09-15,3.572,3.572,3.5055,3.5235,596
2022-09-16,3.5,3.568,3.47,3.561,554
2022-09-19,3.5425,3.5575,3.515,3.5575,450
2022-09-20,3.541,3.5575,3.54,3.548,545
2022-09-21,3.533,3.553,3.45,3.512,985
2022-09-22,3.479,3.5375,3.479,3.4985,681
2022-09-23,3.488,3.489,3.3645,3.3715,511
2022-09-26,3.345,3.384,3.3,3.3135,589
2022-09-27,3.3645,3.373,3.313,3.323,487
2022-09-28,3.332,3.382,3.332,3.382,527
2022-09-29,3.4075,3.4495,3.353,3.44,592
2022-09-30,3.444,3.4825,3.429,3.442,276
2022-10-03,3.4,3.46,3.394,3.458,609
2022-10-04,3.464,3.55,3.464,3.518,720
2022-10-05,3.529,3.5825,3.5035,3.5325,282
2022-10-06,3.4925,3.5015,3.475,3.475,217
2022-10-07,3.45,3.455,3.4115,3.4125,278
2022-10-10,3.464,3.493,3.4535,3.4535,246
2022-10-11,3.4665,3.483,3.427,3.478,265
2022-10-12,3.4145,3.459,3.4145,3.4445,352
2022-10-13,3.43,3.472,3.4,3.4675,249
2022-10-14,3.4675,3.4675,3.4485,3.4505,354
2022-10-17,3.45,3.479,3.439,3.4555,269
2022-10-18,3.435,3.4425,3.39,3.4065,331
2022-10-19,3.369,3.3695,3.358,3.3605,353
2022-10-20,3.4215,3.467,3.4175,3.451,433
2022-10-21,3.46,3.523,3.46,3.523,417
2022-10-24,3.493,3.493,3.4795,3.4795,537
2022-10-25,3.46,3.46,3.4505,3.4505,508
2022-10-26,3.558,3.6295,3.558,3.6295,367
2022-10-27,3.595,3.6255,3.595,3.6255,761
2022-10-28,3.5375,3.5375,3.4535,3.466,860
2022-10-31,3.4095,3.43,3.4095,3.4135,587
2022-11-01,3.4945,3.523,3.4795,3.5095,405
2022-11-02,3.4985,3.5055,3.475,3.5055,238
2022-11-03,3.4455,3.4565,3.4455,3.4565,309
2022-11-04,3.637,3.7315,3.6345,3.7145,322
2022-11-07,3.666,3.666,3.605,3.6295,279
2022-11-08,3.6585,3.7085,3.6585,3.7055,221
2022-11-09,3.6765,3.7415,3.6765,3.7415,323
2022-11-10,3.808,3.808,3.794,3.796,231
2022-11-11,3.917,3.951,3.8905,3.951,260
2022-11-14,3.848,3.872,3.8365,3.855,661
2022-11-15,3.849,3.8505,3.825,3.8395,409
2022-11-16,3.788,3.788,3.788,3.788,461
2022-11-17,3.6955,3.696,3.6755,3.6895,427
2022-11-18,3.6585,3.659,3.632,3.632,645
2022-11-21,3.6,3.601,3.5665,3.5715,455
2022-11-22,3.6515,3.6515,3.6145,3.6145,539
2022-11-23,3.608,3.621,3.608,3.6175,296
2022-11-25,3.629,3.629,3.6265,3.6265,301
2022-11-28,3.5785,3.6105,3.5785,3.6105,31550
2022-11-29,3.595,3.677,3.5905,3.63,8381
2022-11-30,3.6315,3.782,3.627,3.7295,2093
2022-12-01,3.783,3.814,3.734,3.814,1366
2022-12-02,3.773,3.8585,3.756,3.848,660
2022-12-05,3.8705,3.8715,3.77,3.7895,686
2022-12-06,3.786,3.8575,3.786,3.8115,856
2022-12-07,3.8185,3.857,3.7775,3.8555,535
2022-12-08,3.837,3.9045,3.837,3.8805,786
2022-12-09,3.88,3.912,3.85,3.876,599
2022-12-12,3.841,3.8455,3.7895,3.7985,542
2022-12-13,3.821,3.9145,3.806,3.8395,522
2022-12-14,3.838,3.8765,3.827,3.875,589
2022-12-15,3.8575,3.8575,3.7585,3.763,1002
2022-12-16,3.779,3.796,3.74,3.7615,616
2022-12-19,3.811,3.811,3.7515,3.783,601
2022-12-20,3.747,3.8055,3.725,3.7975,585
2022-12-21,3.807,3.814,3.804,3.806,578
2022-12-22,3.822,3.837,3.7505,3.7515,591
2022-12-23,3.7835,3.811,3.76,3.803,370
2022-12-27,3.864,3.928,3.8335,3.8335,380
2022-12-28,3.842,3.842,3.819,3.832,550
2022-12-29,3.831,3.8425,3.809,3.821,723
2022-12-30,3.8265,3.8315,3.802,3.8055,681
