Date,Open,High,Low,Close,Volume
2021-01-04,1912.2,1945.1,1912.2,1944.7,154
2021-01-05,1941.7,1952.7,1941.3,1952.7,113
2021-01-06,1952.0,1959.9,1901.5,1906.9,331
2021-01-07,1922.6,1926.7,1912.0,1912.3,122
2021-01-08,1908.0,1908.0,1834.1,1834.1,60
2021-01-11,1826.5,1849.6,1826.5,1849.6,20
2021-01-12,1849.0,1859.7,1839.4,1842.9,176
2021-01-13,1858.0,1858.6,1853.6,1853.6,189
2021-01-14,1836.7,1850.7,1836.7,1850.3,149
2021-01-15,1829.4,1829.4,1825.0,1829.3,31
2021-01-19,1802.0,1842.9,1802.0,1839.5,13
2021-01-20,1847.8,1866.6,1844.4,1865.9,16
2021-01-21,1865.3,1868.0,1865.3,1865.3,6
2021-01-22,1854.9,1855.7,1852.7,1855.7,8
2021-01-25,1864.7,1864.7,1851.8,1854.9,26
2021-01-26,1855.8,1855.8,1850.7,1850.7,59
2021-01-27,1844.9,1844.9,1844.9,1844.9,195540
2021-01-28,1843.4,1862.9,1831.5,1837.9,27283
2021-01-29,1842.0,1876.0,1838.7,1847.3,1634
2021-02-01,1866.6,1871.9,1850.0,1860.8,1494
2021-02-02,1859.6,1861.3,1827.6,1830.5,1293
2021-02-03,1834.8,1842.4,1829.8,1832.2,1195
2021-02-04,1832.2,1832.2,1782.8,1788.9,2375
2021-02-05,1794.3,1813.5,1790.9,1810.9,1278
2021-02-08,1816.3,1836.7,1809.0,1831.9,254
2021-02-09,1841.9,1843.3,1830.7,1835.3,184
2021-02-10,1842.6,1851.1,1837.0,1840.6,543
2021-02-11,1840.5,1845.0,1820.9,1824.9,602
2021-02-12,1825.0,1827.5,1809.2,1821.6,259
2021-02-16,1820.9,1823.4,1787.3,1797.2,1141
2021-02-17,1785.8,1789.7,1768.8,1771.1,614
2021-02-18,1776.1,1784.6,1766.0,1773.4,587
2021-02-19,1764.3,1787.6,1764.3,1775.8,118
2021-02-22,1784.0,1807.8,1784.0,1806.7,165
2021-02-23,1809.6,1811.3,1796.4,1804.4,569
2021-02-24,1805.8,1805.8,1796.4,1796.4,1500
2021-02-25,1801.5,1802.0,1766.7,1774.4,1049
2021-02-26,1768.1,1768.2,1718.8,1728.1,1593
2021-03-01,1737.1,1747.0,1720.3,1722.5,407
2021-03-02,1709.4,1733.1,1708.7,1733.1,867
2021-03-03,1730.0,1732.4,1703.5,1715.3,501
2021-03-04,1706.5,1717.4,1700.2,1700.2,521
2021-03-05,1690.6,1701.0,1685.0,1698.0,302
2021-03-08,1704.7,1705.4,1673.7,1677.7,1290
2021-03-09,1686.2,1717.5,1685.2,1716.6,335
2021-03-10,1713.6,1722.9,1711.0,1721.5,412
2021-03-11,1725.6,1737.5,1720.2,1722.3,18
2021-03-12,1715.9,1722.5,1699.0,1719.5,80
2021-03-15,1729.5,1731.9,1722.8,1728.9,147
2021-03-16,1732.3,1733.9,1726.0,1730.6,729
2021-03-17,1735.3,1750.1,1725.6,1726.8,488
2021-03-18,1745.8,1750.3,1721.8,1732.2,138
2021-03-19,1742.2,1742.2,1733.6,1741.4,13
2021-03-22,1737.8,1737.8,1737.8,1737.8,51
