Date,Open,High,Low,Close,Volume
2025-01-02,108.53,109.53,108.27,109.39,0
2025-01-03,109.2,109.22,108.9,108.95,0
2025-01-06,108.92,109.07,107.75,108.26,0
2025-01-07,108.34,108.7,107.85,108.54,0
2025-01-08,108.62,109.38,108.55,109.09,0
2025-01-09,109.09,109.38,108.94,109.18,0
2025-01-10,109.23,109.97,109.08,109.65,0
2025-01-13,109.64,110.18,109.41,109.96,0
2025-01-14,109.57,109.76,109.18,109.27,0
2025-01-15,109.23,109.38,108.6,109.09,0
2025-01-16,109.07,109.38,108.83,108.96,0
2025-01-17,108.93,109.42,108.83,109.35,0
2025-01-21,107.98,108.79,107.92,108.06,0
2025-01-22,107.99,108.27,107.75,108.17,0
2025-01-23,108.25,108.51,107.92,108.05,0
2025-01-24,108.09,108.19,107.22,107.44,0
2025-01-27,107.47,107.81,106.97,107.34,0
2025-01-28,107.71,108.05,107.69,107.87,0
2025-01-29,107.89,108.3,107.75,108.0,0
2025-01-30,107.86,108.24,107.5,107.8,0
2025-01-31,108.16,108.57,107.79,108.37,0
2025-02-03,108.5,109.88,108.34,108.99,0
2025-02-04,108.68,109.04,107.92,107.96,0
2025-02-05,108.01,108.01,107.3,107.58,0
2025-02-06,107.62,108.1,107.54,107.69,0
2025-02-07,107.7,108.32,107.52,108.04,0
2025-02-10,108.1,108.44,108.09,108.32,0
2025-02-11,108.34,108.46,107.78,107.96,0
2025-02-12,108.01,108.52,107.63,107.94,0
2025-02-13,107.92,108.0,107.03,107.31,0
2025-02-14,107.12,107.18,106.57,106.57,0
2025-02-18,106.82,107.12,106.81,107.05,0
2025-02-19,107.03,107.38,106.88,107.17,0
2025-02-20,107.12,107.15,106.34,106.34,0
2025-02-21,106.46,106.75,106.38,106.61,0
2025-02-24,106.64,106.75,106.13,106.6,0
2025-02-25,106.77,106.79,106.19,106.31,0
2025-02-26,106.17,106.65,106.16,106.42,0
2025-02-27,106.53,107.31,106.52,107.24,0
2025-02-28,107.25,107.66,107.18,107.61,0
2025-03-03,107.56,107.56,106.47,106.75,0
2025-03-04,106.56,106.65,105.53,105.74,0
2025-03-05,105.62,105.77,104.26,105.74,0
2025-03-06,104.32,104.39,103.76,104.06,0
2025-03-07,104.11,104.24,103.46,103.84,0
2025-03-10,103.91,104.06,103.56,103.91,0
2025-03-11,103.84,103.92,103.22,103.44,0
2025-03-12,103.42,103.78,103.35,103.61,0
2025-03-13,103.61,104.08,103.51,103.83,0
2025-03-14,103.84,104.09,103.57,103.72,0
2025-03-17,103.74,103.81,103.3,103.37,0
2025-03-18,103.44,103.68,103.2,103.24,0
2025-03-19,103.27,103.91,103.25,103.43,0
2025-03-20,103.43,104.13,103.32,103.85,0
2025-03-21,103.78,104.22,103.76,104.09,0
2025-03-24,104.15,104.44,103.84,104.26,0
2025-03-25,104.33,104.47,103.94,104.18,0
2025-03-26,104.25,104.68,104.18,104.55,0
2025-03-27,104.65,104.65,104.07,104.07,0
2025-03-28,104.28,104.5,103.9,104.04,0
2025-03-31,104.01,104.39,103.75,104.21,0
2025-04-01,104.18,104.37,104.02,104.26,0
2025-04-02,104.2,104.31,103.37,103.81,0
2025-04-03,103.15,103.38,101.27,102.07,0
2025-04-04,101.99,103.18,101.54,103.02,0
2025-04-07,103.07,103.54,102.18,103.26,0
2025-04-08,103.43,103.44,102.75,102.96,0
2025-04-09,102.75,103.33,101.84,102.9,0
2025-04-10,102.99,103.03,100.7,100.87,0
2025-04-11,100.78,100.78,99.01,99.78,0
2025-04-14,100.02,100.16,99.21,99.64,0
2025-04-15,99.81,100.28,99.48,100.22,0
2025-04-16,100.06,100.1,99.17,99.38,0
2025-04-17,99.23,99.75,99.22,99.38,0
2025-04-21,99.08,99.21,97.92,98.28,0
2025-04-22,98.3,99.35,98.01,98.92,0
2025-04-23,99.48,99.94,98.86,99.84,0
2025-04-24,99.75,99.84,99.22,99.29,0
2025-04-25,99.41,99.89,99.4,99.47,0
2025-04-28,99.61,99.84,98.9,99.01,0
2025-04-29,99.04,99.37,98.95,99.24,0
2025-04-30,99.17,99.71,99.14,99.47,0
2025-05-01,99.65,100.38,99.61,100.25,0
2025-05-02,100.18,100.33,99.4,100.0,0
2025-05-05,100.0,100.05,99.46,99.83,0
2025-05-06,99.83,100.1,99.17,99.24,0
2025-05-07,99.5,99.97,99.29,99.61,0
2025-05-08,99.85,100.76,99.61,100.64,0
2025-05-09,100.64,100.86,100.09,100.34,0
2025-05-12,100.69,101.98,100.51,101.79,0
2025-05-13,101.73,101.76,100.91,101.0,0
2025-05-14,100.95,101.14,100.27,101.04,0
2025-05-15,100.97,101.06,100.59,100.88,0
2025-05-16,100.77,101.26,100.52,101.09,0
2025-05-19,100.91,100.91,100.06,100.43,0
2025-05-20,100.43,100.58,100.01,100.12,0
2025-05-21,99.99,99.99,99.34,99.56,0
2025-05-22,99.64,100.12,99.44,99.96,0
2025-05-23,99.88,99.94,99.05,99.11,0
2025-05-26,99.09,99.16,98.69,98.93,0
2025-05-27,98.96,99.62,98.78,99.52,0
2025-05-28,99.53,99.96,99.44,99.88,0
2025-05-29,100.54,100.54,99.22,99.28,0
2025-05-30,99.25,99.67,99.13,99.33,0
2025-06-02,99.41,99.42,98.61,98.7,0
2025-06-03,98.59,99.33,98.58,99.25,0
2025-06-04,99.18,99.39,98.67,98.79,0
2025-06-05,98.8,98.94,98.35,98.74,0
2025-06-06,98.7,99.36,98.66,99.19,0
2025-06-09,99.2,99.23,98.82,98.94,0
2025-06-10,98.98,99.39,98.86,99.05,0
2025-06-11,98.96,99.22,98.53,98.63,0
2025-06-12,98.46,98.52,97.6,97.92,0
2025-06-13,97.81,98.59,97.62,98.18,0
2025-06-16,98.26,98.37,97.69,98.0,0
2025-06-17,98.19,98.87,98.02,98.82,0
2025-06-18,98.87,99.01,98.48,98.91,0
2025-06-20,98.67,98.89,98.54,98.71,0
2025-06-23,99.09,99.42,98.35,98.42,0
2025-06-24,98.16,98.28,97.71,97.86,0
2025-06-25,97.94,98.2,97.65,97.68,0
2025-06-26,97.55,97.61,97.0,97.15,0
2025-06-27,97.33,97.5,97.0,97.4,0
2025-06-30,97.19,97.32,96.77,96.88,0
2025-07-01,96.78,96.95,96.38,96.82,0
2025-07-02,96.64,97.15,96.62,96.78,0
2025-07-03,96.75,97.42,96.69,97.18,0
2025-07-07,96.96,97.67,96.89,97.48,0
2025-07-08,97.36,97.84,97.18,97.51,0
2025-07-09,97.55,97.75,97.46,97.47,0
2025-07-10,97.44,97.92,97.27,97.65,0
2025-07-11,97.57,97.96,97.56,97.85,0
2025-07-14,97.96,98.14,97.77,98.08,0
2025-07-15,98.14,98.7,97.93,98.62,0
2025-07-16,98.58,98.91,97.71,98.39,0
2025-07-17,98.35,98.95,98.34,98.73,0
2025-07-18,98.49,98.58,98.1,98.48,0
2025-07-21,98.36,98.51,97.7,97.85,0
2025-07-22,97.87,97.99,97.31,97.39,0
2025-07-23,97.47,97.61,97.19,97.21,0
2025-07-24,97.18,97.55,97.11,97.38,0
2025-07-25,97.45,97.91,97.43,97.65,0
2025-07-28,97.58,98.69,97.49,98.66,0
2025-07-29,98.64,99.14,98.58,98.91,0
2025-07-30,98.92,99.98,98.7,99.94,0
2025-07-31,99.8,100.1,99.52,100.03,0
2025-08-01,100.01,100.26,98.61,98.69,0
2025-08-04,98.65,98.98,98.59,98.78,0
2025-08-05,98.62,99.07,98.59,98.78,0
2025-08-06,98.75,98.84,98.13,98.18,0
2025-08-07,98.19,98.47,97.95,98.4,0
2025-08-08,97.98,98.35,97.96,98.18,0
2025-08-11,98.24,99.32,98.03,98.52,0
2025-08-12,98.51,98.62,97.9,98.1,0
2025-08-13,98.04,98.13,97.63,97.84,0
2025-08-14,97.75,98.32,97.63,98.25,0
2025-08-15,98.18,98.21,97.73,97.85,0
2025-08-18,97.79,98.19,97.78,98.17,0
2025-08-19,98.15,98.32,97.94,98.27,0
2025-08-20,98.29,98.44,98.08,98.22,0
2025-08-21,98.25,98.68,98.18,98.62,0
2025-08-22,98.6,98.83,97.56,97.72,0
2025-08-25,97.73,98.54,97.71,98.43,0
2025-08-26,98.47,98.56,98.09,98.23,0
2025-08-27,98.25,98.73,98.16,98.23,0
2025-08-28,98.12,98.23,97.74,97.81,0
2025-08-29,97.87,98.13,97.69,97.77,0
2025-09-02,97.65,98.6,97.62,98.4,0
2025-09-03,98.4,98.64,98.01,98.14,0
2025-09-04,98.15,98.44,98.08,98.35,0
2025-09-05,98.24,98.26,97.43,97.77,0
2025-09-08,97.79,97.94,97.42,97.45,0
2025-09-09,97.38,97.82,97.25,97.79,0
2025-09-10,97.83,97.93,97.6,97.78,0
2025-09-11,97.79,98.09,97.47,97.54,0
2025-09-12,97.52,97.86,97.49,97.55,0
2025-09-15,97.63,97.7,97.27,97.3,0
2025-09-16,97.34,97.39,96.56,96.63,0
2025-09-17,96.62,97.07,96.22,96.87,0
2025-09-18,96.93,97.6,96.84,97.35,0
2025-09-19,97.34,97.81,97.27,97.64,0
2025-09-22,97.65,97.82,97.31,97.33,0
2025-09-23,97.32,97.46,97.2,97.26,0
2025-09-24,97.24,97.92,97.22,97.87,0
2025-09-25,97.82,98.61,97.74,98.55,0
2025-09-26,98.5,98.53,98.13,98.15,0
2025-09-29,98.17,98.18,97.77,97.91,0
2025-09-30,97.91,98.05,97.63,97.77,0
2025-10-01,97.82,97.88,97.46,97.71,0
2025-10-02,97.7,98.13,97.52,97.85,0
2025-10-03,97.85,97.95,97.6,97.72,0
2025-10-06,97.96,98.5,97.96,98.11,0
2025-10-07,98.09,98.66,98.09,98.58,0
2025-10-08,98.61,99.06,98.59,98.85,0
2025-10-09,98.84,99.56,98.7,99.54,0
2025-10-10,99.39,99.43,98.81,98.98,0
2025-10-13,98.94,99.35,98.83,99.27,0
2025-10-14,99.3,99.48,98.99,99.05,0
2025-10-15,99.05,99.08,98.66,98.79,0
2025-10-16,98.67,98.7,98.3,98.39,0
2025-10-17,98.26,98.55,98.03,98.43,0
2025-10-20,98.67,98.67,98.39,98.59,0
2025-10-21,98.61,98.98,98.51,98.93,0
2025-10-22,98.97,99.14,98.79,98.9,0
2025-10-23,98.92,99.14,98.91,98.94,0
2025-10-24,98.94,99.1,98.73,98.95,0
2025-10-27,98.84,99.0,98.73,98.78,0
2025-10-28,98.75,98.95,98.57,98.69,0
2025-10-29,98.74,99.36,98.62,99.22,0
2025-10-30,99.14,99.72,98.92,99.53,0
2025-10-31,99.49,99.84,99.42,99.8,0
2025-11-03,99.75,99.99,99.71,99.87,0
2025-11-04,99.98,100.26,99.74,100.22,0
2025-11-05,100.18,100.36,100.06,100.2,0
2025-11-06,100.11,100.11,99.67,99.73,0
2025-11-07,99.76,99.87,99.4,99.6,0
2025-11-10,99.63,99.74,99.46,99.62,0
2025-11-11,99.66,99.74,99.29,99.46,0
2025-11-12,99.46,99.71,99.42,99.48,0
2025-11-13,99.52,99.59,98.99,99.18,0
2025-11-14,99.26,99.4,98.99,99.27,0
2025-11-17,99.27,99.6,99.25,99.59,0
2025-11-18,99.56,99.66,99.4,99.55,0
2025-11-19,99.58,100.24,99.49,100.23,0
2025-11-20,100.17,100.36,100.03,100.16,0
2025-11-21,100.16,100.4,99.99,100.18,0
2025-11-24,100.2,100.3,100.01,100.14,0
2025-11-25,100.21,100.26,99.65,99.66,0
2025-11-26,99.84,99.96,99.56,99.6,0
2025-11-28,99.57,99.82,99.38,99.46,0
2025-12-01,99.48,99.51,99.01,99.41,0
2025-12-02,99.45,99.57,99.32,99.36,0
2025-12-03,99.28,99.29,98.82,98.85,0
2025-12-04,98.92,99.08,98.77,98.99,0
2025-12-05,99.04,99.13,98.81,98.99,0
2025-12-08,98.97,99.23,98.79,99.09,0
2025-12-09,99.05,99.31,98.95,99.22,0
2025-12-10,99.22,99.26,98.59,98.79,0
2025-12-11,98.56,98.76,98.13,98.35,0
2025-12-12,98.32,98.53,98.3,98.4,0
2025-12-15,98.4,98.48,98.14,98.15,0
2025-12-16,98.27,98.32,97.87,98.15,0
2025-12-17,98.21,98.64,98.18,98.37,0
2025-12-18,98.38,98.56,98.17,98.43,0
2025-12-19,98.46,98.75,98.42,98.6,0
2025-12-22,98.67,98.73,98.2,98.29,0
2025-12-23,98.2,98.2,97.85,97.94,0
2025-12-24,97.89,98.01,97.75,97.98,0
2025-12-26,97.92,98.13,97.86,98.02,0
2025-12-29,98.05,98.18,97.92,98.04,0
2025-12-30,98.01,98.27,97.94,98.24,0
2025-12-31,98.25,98.5,98.18,98.28,0
