Date,Open,High,Low,Close,Volume
2024-01-02,4100.17,4105.76,3990.72,4023.04,0
2024-01-03,3938.95,3976.75,3926.86,3941.21,0
2024-01-04,3876.97,3947.27,3875.18,3908.85,0
2024-01-05,3914.17,3965.91,3908.72,3933.49,0
2024-01-08,3956.16,4071.62,3956.05,4062.48,0
2024-01-09,4023.51,4094.78,4015.45,4064.65,0
2024-01-10,4065.77,4066.66,4000.4,4048.84,0
2024-01-11,4057.16,4089.07,3987.59,4067.9,0
2024-01-12,4073.4,4089.33,4031.01,4052.43,0
2024-01-16,4050.04,4132.99,4035.92,4105.94,0
2024-01-17,4065.13,4075.21,4001.35,4069.95,0
2024-01-18,4194.51,4213.03,4139.8,4206.52,0
2024-01-19,4258.3,4380.79,4240.81,4375.65,0
2024-01-22,4410.06,4439.59,4347.21,4386.6,0
2024-01-23,4384.02,4419.2,4347.9,4415.26,0
2024-01-24,4475.54,4541.75,4435.56,4483.33,0
2024-01-25,4562.21,4566.56,4450.04,4472.26,0
2024-01-26,4366.92,4405.36,4330.96,4342.1,0
2024-01-29,4354.99,4388.35,4323.56,4388.27,0
2024-01-30,4363.56,4384.08,4301.86,4319.99,0
2024-01-31,4239.87,4334.81,4220.95,4260.92,0
2024-02-01,4270.61,4291.33,4226.58,4280.48,0
2024-02-02,4273.06,4346.03,4270.84,4336.73,0
2024-02-05,4370.76,4407.0,4320.12,4388.1,0
2024-02-06,4388.75,4396.45,4291.88,4338.27,0
2024-02-07,4364.31,4412.61,4329.95,4408.73,0
2024-02-08,4424.99,4510.2,4417.83,4478.01,0
2024-02-09,4505.82,4574.93,4479.06,4567.3,0
2024-02-12,4566.18,4644.04,4543.04,4560.04,0
2024-02-13,4412.94,4514.99,4408.46,4468.18,0
2024-02-14,4533.35,4568.07,4503.33,4565.41,0
2024-02-15,4591.65,4599.91,4540.09,4558.1,0
2024-02-16,4585.31,4624.49,4514.98,4527.68,0
2024-02-20,4489.88,4507.53,4389.78,4456.87,0
2024-02-21,4402.95,4446.84,4383.91,4446.36,0
2024-02-22,4632.63,4687.26,4604.2,4667.37,0
2024-02-23,4688.61,4709.52,4592.97,4615.03,0
2024-02-26,4658.91,4683.91,4634.82,4663.47,0
