Date,Open,High,Low,Close,Volume
2025-01-02,6.21,6.27,6.12,6.25,44200
2025-01-03,6.28,6.38,6.26,6.26,123000
2025-01-06,5.99,6.0,5.7,5.82,393300
2025-01-07,5.68,5.72,5.5,5.63,380100
2025-01-08,5.6,5.63,5.5,5.55,181500
2025-01-10,6.07,6.97,6.01,6.7,173700
2025-01-13,6.05,6.05,5.77,5.84,247900
2025-01-14,5.91,6.15,5.91,6.13,132700
2025-01-15,5.95,6.14,5.84,5.89,161000
2025-01-16,5.8,5.8,5.72,5.73,102500
2025-01-17,5.7,5.73,5.64,5.72,99700
2025-01-21,5.53,5.62,5.46,5.61,329800
2025-01-22,5.42,5.44,5.24,5.28,727000
2025-01-23,5.18,5.25,5.1,5.14,420600
2025-01-24,5.13,5.21,5.06,5.14,659200
2025-01-27,5.28,5.35,5.15,5.32,351400
2025-01-28,5.32,5.33,5.26,5.28,354300
2025-01-29,5.29,5.39,5.26,5.32,421400
2025-01-30,5.45,5.54,5.41,5.49,490800
2025-01-31,5.71,5.78,5.69,5.77,388200
2025-02-03,5.66,5.66,5.44,5.47,265500
2025-02-04,5.88,5.92,5.8,5.87,210300
2025-02-05,6.0,6.0,5.87,5.99,177900
2025-02-06,5.87,5.87,5.72,5.8,198300
2025-02-07,5.84,5.86,5.79,5.86,103200
2025-02-10,5.75,5.8,5.7,5.78,131500
2025-02-11,5.7,5.7,5.55,5.68,194000
2025-02-12,5.5,5.53,5.4,5.51,359700
2025-02-13,5.6,5.62,5.5,5.5,237100
2025-02-14,5.61,5.73,5.6,5.64,174000
2025-02-18,6.0,6.11,5.96,6.08,434800
2025-02-19,6.05,6.15,5.91,5.99,313700
2025-02-20,6.26,6.48,6.22,6.45,504900
2025-02-21,6.3,6.34,6.25,6.32,229100
2025-02-24,6.22,6.22,6.05,6.09,304100
2025-02-25,6.31,6.34,6.21,6.26,166700
2025-02-26,6.35,6.42,6.22,6.4,332500
2025-02-27,6.28,6.28,6.14,6.17,117300
2025-02-28,6.44,6.44,6.34,6.4,110000
2025-03-03,6.3,6.35,6.15,6.15,118100
2025-03-04,5.97,6.08,5.88,6.0,168600
2025-03-05,6.23,6.29,6.11,6.29,340500
2025-03-06,6.41,6.5,6.4,6.5,172400
2025-03-07,6.6,6.6,6.53,6.57,148800
2025-03-10,6.57,6.7,6.52,6.55,282000
2025-03-11,6.54,6.7,6.53,6.68,194300
2025-03-12,7.05,7.2,7.01,7.14,435700
2025-03-13,7.06,7.09,6.78,6.85,178300
2025-03-14,6.98,7.0,6.9,6.95,117300
2025-03-17,6.96,6.96,6.66,6.86,200900
2025-03-18,6.65,6.76,6.54,6.73,385300
2025-03-19,6.56,6.56,6.38,6.5,158600
2025-03-20,6.67,6.85,6.62,6.78,111000
2025-03-21,6.77,6.95,6.77,6.91,125300
2025-03-24,6.83,6.83,6.67,6.75,91000
2025-03-25,6.67,6.72,6.5,6.51,156500
2025-03-26,6.49,6.51,6.37,6.4,112400
2025-03-27,6.38,6.48,6.34,6.35,73900
2025-03-28,6.43,6.44,6.16,6.36,158100
2025-03-31,6.26,6.3,6.21,6.25,107000
2025-04-01,6.4,6.55,6.37,6.5,69300
2025-04-02,6.45,6.54,6.34,6.37,66900
2025-04-03,6.19,6.19,5.93,6.02,419500
2025-04-04,5.76,5.85,5.56,5.62,611800
2025-04-07,5.27,5.55,5.25,5.38,592500
2025-04-08,5.45,5.45,5.32,5.36,245500
2025-04-09,5.22,5.45,5.11,5.33,435900
2025-04-10,5.57,5.64,5.45,5.6,284600
2025-04-11,5.6,5.71,5.53,5.63,83200
2025-04-14,5.82,5.87,5.71,5.75,220800
2025-04-15,5.76,5.76,5.68,5.69,57700
2025-04-16,5.72,5.75,5.69,5.72,182100
2025-04-17,5.76,5.77,5.72,5.74,36700
2025-04-21,5.75,5.77,5.7,5.73,76000
2025-04-22,5.74,5.74,5.59,5.6,78600
2025-04-23,5.91,6.03,5.88,5.88,174800
2025-04-24,5.95,5.97,5.81,5.83,43100
2025-04-25,5.9,6.0,5.9,5.92,116000
2025-04-28,5.93,5.93,5.78,5.78,73600
2025-04-29,5.75,5.76,5.57,5.57,87600
2025-04-30,5.65,5.8,5.65,5.76,35000
