Date,Close,CPI_YoY
2023-01-02,298.832,6.4
2023-01-03,298.832,6.4
2023-01-04,298.832,6.4
2023-01-05,298.832,6.4
2023-01-06,298.832,6.4
2023-01-09,298.832,6.4
2023-01-10,298.832,6.4
2023-01-11,298.832,6.4
2023-01-12,298.832,6.4
2023-01-13,298.832,6.4
2023-01-16,300.42,6.33
2023-01-17,300.42,6.33
2023-01-18,300.42,6.33
2023-01-19,300.42,6.33
2023-01-20,300.42,6.33
2023-01-23,300.42,6.33
2023-01-24,300.42,6.33
2023-01-25,300.42,6.33
2023-01-26,300.42,6.33
2023-01-27,300.42,6.33
2023-01-30,300.42,6.33
2023-01-31,300.42,6.33
2023-02-01,300.42,6.33
2023-02-02,300.42,6.33
2023-02-03,300.42,6.33
2023-02-06,300.42,6.33
2023-02-07,300.42,6.33
2023-02-08,300.42,6.33
2023-02-09,300.42,6.33
2023-02-10,300.42,6.33
2023-02-13,300.42,6.33
2023-02-14,300.42,6.33
2023-02-15,300.42,6.33
2023-02-16,301.45,5.96
2023-02-17,301.45,5.96
2023-02-20,301.45,5.96
2023-02-21,301.45,5.96
2023-02-22,301.45,5.96
2023-02-23,301.45,5.96
2023-02-24,301.45,5.96
2023-02-27,301.45,5.96
2023-02-28,301.45,5.96
2023-03-01,301.45,5.96
2023-03-02,301.45,5.96
2023-03-03,301.45,5.96
2023-03-06,301.45,5.96
2023-03-07,301.45,5.96
2023-03-08,301.45,5.96
2023-03-09,301.45,5.96
2023-03-10,301.45,5.96
2023-03-13,301.45,5.96
2023-03-14,301.45,5.96
2023-03-15,301.45,5.96
2023-03-16,301.821,4.92
2023-03-17,301.821,4.92
2023-03-20,301.821,4.92
2023-03-21,301.821,4.92
2023-03-22,301.821,4.92
2023-03-23,301.821,4.92
2023-03-24,301.821,4.92
2023-03-27,301.821,4.92
2023-03-28,301.821,4.92
2023-03-29,301.821,4.92
2023-03-30,301.821,4.92
2023-03-31,301.821,4.92
2023-04-03,301.821,4.92
2023-04-04,301.821,4.92
2023-04-05,301.821,4.92
2023-04-06,301.821,4.92
2023-04-07,301.821,4.92
2023-04-10,301.821,4.92
2023-04-11,301.821,4.92
2023-04-12,301.821,4.92
2023-04-13,301.821,4.92
2023-04-14,301.821,4.92
2023-04-17,301.821,4.92
2023-04-18,301.821,4.92
2023-04-19,301.821,4.92
2023-04-20,301.821,4.92
2023-04-21,301.821,4.92
2023-04-24,301.821,4.92
2023-04-25,301.821,4.92
2023-04-26,301.821,4.92
2023-04-27,301.821,4.92
2023-04-28,301.821,4.92
2023-05-01,301.821,4.92
2023-05-02,301.821,4.92
2023-05-03,301.821,4.92
2023-05-04,301.821,4.92
2023-05-05,301.821,4.92
2023-05-08,301.821,4.92
2023-05-09,301.821,4.92
2023-05-10,301.821,4.92
2023-05-11,301.821,4.92
2023-05-12,301.821,4.92
2023-05-15,301.821,4.92
2023-05-16,303.334,4.13
2023-05-17,303.334,4.13
2023-05-18,303.334,4.13
2023-05-19,303.334,4.13
2023-05-22,303.334,4.13
2023-05-23,303.334,4.13
2023-05-24,303.334,4.13
2023-05-25,303.334,4.13
2023-05-26,303.334,4.13
2023-05-29,303.334,4.13
2023-05-30,303.334,4.13
2023-05-31,303.334,4.13
2023-06-01,303.334,4.13
2023-06-02,303.334,4.13
2023-06-05,303.334,4.13
2023-06-06,303.334,4.13
2023-06-07,303.334,4.13
2023-06-08,303.334,4.13
2023-06-09,303.334,4.13
2023-06-12,303.334,4.13
2023-06-13,303.334,4.13
2023-06-14,303.334,4.13
2023-06-15,303.334,4.13
2023-06-16,304.014,3.07
2023-06-19,304.014,3.07
2023-06-20,304.014,3.07
2023-06-21,304.014,3.07
2023-06-22,304.014,3.07
2023-06-23,304.014,3.07
2023-06-26,304.014,3.07
2023-06-27,304.014,3.07
2023-06-28,304.014,3.07
2023-06-29,304.014,3.07
2023-06-30,304.014,3.07
2023-07-03,304.014,3.07
2023-07-04,304.014,3.07
2023-07-05,304.014,3.07
2023-07-06,304.014,3.07
2023-07-07,304.014,3.07
2023-07-10,304.014,3.07
2023-07-11,304.014,3.07
2023-07-12,304.014,3.07
2023-07-13,304.014,3.07
2023-07-14,304.014,3.07
2023-07-17,304.014,3.07
2023-07-18,304.014,3.07
2023-07-19,304.014,3.07
2023-07-20,304.014,3.07
