Date,Open,High,Low,Close,Volume
2024-01-02,3.969,3.973,3.918,3.946,0
2024-01-03,3.978,4.008,3.894,3.907,0
2024-01-04,3.974,4.006,3.971,3.991,0
2024-01-05,4.038,4.099,3.953,4.042,0
2024-01-08,4.059,4.063,3.966,4.002,0
2024-01-09,4.047,4.053,3.996,4.019,0
2024-01-10,3.992,4.038,3.985,4.03,0
2024-01-11,3.994,4.068,3.973,3.977,0
2024-01-12,4.003,4.007,3.916,3.95,0
2024-01-16,4.003,4.083,3.99,4.066,0
2024-01-17,4.081,4.129,4.075,4.106,0
2024-01-18,4.09,4.154,4.09,4.144,0
2024-01-19,4.132,4.198,4.132,4.146,0
2024-01-22,4.098,4.111,4.075,4.094,0
2024-01-23,4.13,4.155,4.121,4.142,0
2024-01-24,4.099,4.188,4.086,4.178,0
2024-01-25,4.155,4.186,4.122,4.132,0
2024-01-26,4.122,4.166,4.107,4.16,0
2024-01-29,4.108,4.122,4.089,4.091,0
2024-01-30,4.068,4.103,4.041,4.059,0
2024-01-31,4.02,4.03,3.944,3.967,0
2024-02-01,3.927,3.927,3.817,3.863,0
2024-02-02,3.889,4.054,3.887,4.033,0
2024-02-05,4.112,4.177,4.11,4.164,0
2024-02-06,4.148,4.162,4.079,4.09,0
2024-02-07,4.125,4.125,4.065,4.11,0
2024-02-08,4.137,4.173,4.131,4.17,0
2024-02-09,4.173,4.193,4.127,4.187,0
2024-02-12,4.152,4.197,4.15,4.172,0
2024-02-13,4.152,4.316,4.15,4.316,0
2024-02-14,4.308,4.322,4.246,4.267,0
2024-02-15,4.226,4.255,4.191,4.24,0
2024-02-16,4.279,4.328,4.277,4.295,0
2024-02-20,4.283,4.289,4.244,4.275,0
2024-02-21,4.264,4.331,4.258,4.325,0
2024-02-22,4.337,4.354,4.297,4.327,0
2024-02-23,4.307,4.329,4.246,4.26,0
2024-02-26,4.244,4.309,4.238,4.299,0
2024-02-27,4.272,4.321,4.264,4.315,0
2024-02-28,4.28,4.309,4.272,4.274,0
2024-02-29,4.311,4.315,4.225,4.252,0
2024-03-01,4.268,4.296,4.178,4.18,0
2024-03-04,4.219,4.235,4.205,4.219,0
2024-03-05,4.164,4.166,4.114,4.137,0
2024-03-06,4.139,4.147,4.079,4.104,0
2024-03-07,4.081,4.123,4.054,4.092,0
2024-03-08,4.067,4.129,4.038,4.089,0
2024-03-11,4.077,4.116,4.075,4.104,0
2024-03-12,4.089,4.172,4.083,4.155,0
2024-03-13,4.186,4.196,4.17,4.192,0
2024-03-14,4.196,4.3,4.192,4.298,0
2024-03-15,4.281,4.32,4.281,4.304,0
2024-03-18,4.314,4.348,4.304,4.34,0
2024-03-19,4.326,4.336,4.289,4.297,0
2024-03-20,4.283,4.324,4.239,4.273,0
2024-03-21,4.233,4.293,4.228,4.271,0
2024-03-22,4.22,4.226,4.2,4.218,0
2024-03-25,4.232,4.261,4.222,4.253,0
2024-03-26,4.236,4.273,4.232,4.234,0
2024-03-27,4.22,4.228,4.183,4.196,0
2024-03-28,4.23,4.234,4.183,4.206,0
2024-04-01,4.234,4.337,4.234,4.329,0
2024-04-02,4.375,4.405,4.355,4.365,0
2024-04-03,4.383,4.429,4.347,4.355,0
2024-04-04,4.371,4.381,4.307,4.309,0
2024-04-05,4.328,4.404,4.318,4.378,0
2024-04-08,4.458,4.462,4.406,4.424,0
2024-04-09,4.384,4.396,4.358,4.366,0
2024-04-10,4.346,4.568,4.344,4.56,0
2024-04-11,4.576,4.591,4.515,4.576,0
2024-04-12,4.514,4.532,4.483,4.499,0
2024-04-15,4.585,4.663,4.583,4.628,0
2024-04-16,4.645,4.696,4.626,4.659,0
2024-04-17,4.655,4.661,4.575,4.585,0
2024-04-18,4.592,4.653,4.592,4.647,0
2024-04-19,4.59,4.631,4.582,4.615,0
2024-04-22,4.652,4.652,4.611,4.623,0
2024-04-23,4.65,4.65,4.568,4.598,0
2024-04-24,4.642,4.671,4.627,4.652,0
2024-04-25,4.658,4.737,4.625,4.706,0
2024-04-26,4.686,4.69,4.644,4.669,0
2024-04-29,4.626,4.649,4.612,4.614,0
2024-04-30,4.616,4.686,4.616,4.686,0
2024-05-01,4.67,4.676,4.581,4.595,0
2024-05-02,4.612,4.651,4.567,4.571,0
2024-05-03,4.551,4.571,4.453,4.5,0
2024-05-06,4.487,4.514,4.471,4.489,0
2024-05-07,4.473,4.473,4.423,4.463,0
2024-05-08,4.484,4.498,4.475,4.492,0
2024-05-09,4.516,4.516,4.447,4.449,0
2024-05-10,4.477,4.508,4.471,4.504,0
2024-05-13,4.487,4.489,4.459,4.481,0
2024-05-14,4.481,4.532,4.443,4.445,0
2024-05-15,4.418,4.418,4.34,4.356,0
2024-05-16,4.33,4.379,4.319,4.377,0
2024-05-17,4.396,4.426,4.391,4.42,0
2024-05-20,4.422,4.455,4.42,4.437,0
2024-05-21,4.43,4.436,4.398,4.414,0
2024-05-22,4.453,4.461,4.412,4.434,0
2024-05-23,4.418,4.496,4.408,4.475,0
2024-05-24,4.489,4.502,4.459,4.467,0
2024-05-28,4.453,4.546,4.449,4.542,0
2024-05-29,4.566,4.638,4.56,4.624,0
2024-05-30,4.594,4.6,4.542,4.554,0
2024-05-31,4.552,4.556,4.485,4.514,0
2024-06-03,4.473,4.473,4.392,4.402,0
2024-06-04,4.361,4.367,4.314,4.336,0
2024-06-05,4.326,4.351,4.287,4.289,0
2024-06-06,4.301,4.322,4.277,4.281,0
2024-06-07,4.297,4.434,4.289,4.43,0
2024-06-10,4.453,4.479,4.447,4.469,0
2024-06-11,4.436,4.461,4.402,4.404,0
2024-06-12,4.388,4.406,4.25,4.295,0
2024-06-13,4.31,4.31,4.223,4.238,0
2024-06-14,4.196,4.236,4.188,4.213,0
2024-06-17,4.265,4.295,4.26,4.279,0
2024-06-18,4.287,4.289,4.207,4.217,0
2024-06-20,4.238,4.293,4.23,4.254,0
2024-06-21,4.224,4.279,4.217,4.257,0
2024-06-24,4.275,4.275,4.246,4.248,0
2024-06-25,4.217,4.259,4.211,4.238,0
2024-06-26,4.285,4.32,4.281,4.316,0
2024-06-27,4.327,4.343,4.275,4.288,0
2024-06-28,4.304,4.359,4.261,4.343,0
2024-07-01,4.424,4.493,4.416,4.479,0
2024-07-02,4.442,4.455,4.414,4.436,0
2024-07-03,4.426,4.43,4.339,4.355,0
2024-07-05,4.331,4.374,4.271,4.272,0
2024-07-08,4.306,4.306,4.267,4.269,0
2024-07-09,4.3,4.329,4.282,4.3,0
2024-07-10,4.278,4.304,4.272,4.28,0
2024-07-11,4.288,4.29,4.168,4.193,0
2024-07-12,4.206,4.239,4.187,4.189,0
2024-07-15,4.237,4.241,4.2,4.229,0
2024-07-16,4.175,4.216,4.163,4.167,0
2024-07-17,4.179,4.196,4.144,4.146,0
2024-07-18,4.183,4.19,4.156,4.189,0
2024-07-19,4.225,4.249,4.225,4.239,0
2024-07-22,4.225,4.278,4.212,4.26,0
2024-07-23,4.237,4.247,4.221,4.239,0
