stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
060310,3S,00378363,20260327,56559,6776021,44569593,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
095570,AJ네트웍스,00365387,20260327,101185,308947,19458686,G2030,WICS 운송,G20,산업재,KOSPI,wics_local_fallback
006840,AK홀딩스,00125080,20260327,34719,1649949,4239219,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
054620,APS,00296078,20260327,84429,11083547,9381052,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
265520,AP시스템,01203808,20260327,232219,153256,11137607,G4540,WICS 디스플레이,G45,IT,KOSPI,wics_local_fallback
211270,AP위성,00874803,20260327,186553,2658156,10557612,G4520,WICS 기술하드웨어와장비,G45,IT,KOSPI,wics_local_fallback
027410,BGF,00219097,20260327,128643,1649949,28715037,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
282330,BGF리테일,01263022,20260327,1013442,215583,7777757,G2550,WICS 소매(유통),G25,경기관련소비재,KOSPI,wics_local_fallback
126600,BGF에코머티리얼즈,00599595,20260327,75204,1649949,19457738,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
138930,BNK금융지주,00858364,20260327,4753465,546922,254468167,G4010,WICS 은행,G40,금융,KOSPI,wics_local_fallback
001460,BYC,00122579,20260327,83636,456464,1623999,G2520,WICS 내구소비재와의류,G25,경기관련소비재,KOSPI,wics_local_fallback
083790,CG인바이츠,00407814,20260327,93428,1898063,60746403,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
001040,CJ,00148540,20260327,2771523,6776021,13421419,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
079160,CJ CGV,00303873,20260327,355050,945391,74512064,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
035760,CJ ENM,00265324,20260327,676207,945391,11403160,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
311690,CJ 바이오사이언스,01071041,20260327,37544,1898063,4572911,G3520,WICS 제약과생물공학,G35,건강관리,KOSPI,wics_local_fallback
000120,CJ대한통운,00113410,20260327,1160099,308947,10721801,G2030,WICS 운송,G20,산업재,KOSPI,wics_local_fallback
011150,CJ씨푸드,00129013,20260327,51798,236528,19043309,G3020,"WICS 식품,음료,담배",G30,필수소비재,KOSPI,wics_local_fallback
097950,CJ제일제당,00635134,20260327,1679144,236528,7828176,G3020,"WICS 식품,음료,담배",G30,필수소비재,KOSPI,wics_local_fallback
