wics_major_code,wics_major_name,wics_major_description,wics_medium_code,wics_medium_name,wics_medium_description,wics_minor_code,wics_minor_name,wics_minor_description,wics_detailed_code,wics_detailed_name,wics_detailed_description
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101010,에너지장비및서비스,WICS 소분류 (Minor Sector / Industry),10101010,석유와 가스 등 시추,"유정 시추를 위해 서비스 계약을 체결한 시추 계약업자 또는 시추 장치 소유자. 태양광셀, 전지 및 재생에너지 등의 생산 업체 포함. 특정 지역 또는 공익 사업을 목적으로 한 에너지 생산/분배 회사 제외"
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101010,에너지장비및서비스,WICS 소분류 (Minor Sector / Industry),10101020,석유와 가스 등 에너지 장비 및 서비스,"시추 장치 및 장비를 제조하는 업체, 그리고 석유와 가스 유정의 시추, 평가, 생산준비와 관련된 기업들에게 공급품과 서비스를 제공하는 업체. 풍력발전시스템, 발전플랜트 등의 발전시스템 설비 생산 업체 포함"
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101020,석유와가스,WICS 소분류 (Minor Sector / Industry),10102010,종합 석유 및 가스,"석유와 가스의 탐사 및 생산과 관련된 종합 석유 회사로서, 이 외에 정유, 마케팅, 수송, 화학 중 최소한 한 가지 이상의 다른 주요 사업을 함께 영위하는 업체"
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101020,석유와가스,WICS 소분류 (Minor Sector / Industry),10102020,석유와 가스 탐사 및 생산,다른 부문으로 분류되지 않은 석유와 가스의 탐사 및 생산 관련 기업
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101020,석유와가스,WICS 소분류 (Minor Sector / Industry),10102030,석유와 가스 정제 및 마케팅,"'종합 석유 및 가스' 또는 '독립 전력 생산업체 및 에너지 거래업체' 로 분류되지 않은 석유, 가스, 정유 제품군의 정유/마케팅과 관련된 회사"
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101020,석유와가스,WICS 소분류 (Minor Sector / Industry),10102040,석유와 가스 저장 및 수송,"석유, 가스, 정유 제품군의 저장/수송과 관련된 회사. 다각화된 중간단계 천연 가스 회사, 석유 및 정유 제품 수송관 회사, 석탄 슬러리 수송관 회사, 석유 및 가스 선적 회사를 포함"
10,에너지,WICS 대분류 (Major Sector),1010,에너지,WICS 중분류 (Medium Sector / Industry Group),101020,석유와가스,WICS 소분류 (Minor Sector / Industry),10102050,석탄 및 소모 연료,"석탄, 관련 산물, 기타 에너지 생성에 관계된 소모 연료의 생산 및 채광과 주로 관련된 회사. '산업용 가스'로 분류되는 가스를 주로 생산하는 회사 제외"
15,소재,WICS 대분류 (Major Sector),1510,소재,WICS 중분류 (Medium Sector / Industry Group),151010,화학,WICS 소분류 (Minor Sector / Industry),15101010,범용 화학제품(Commodity Chemicals),"산업용 화학제품과 기초 화학제품을 주로 생산하는 기업. 플라스틱 제품, 그래핀이나 탄소섬유 등을 포함하는 합성섬유, 필름, 범용 도료와 안료, 폭발물, 석유화학 제품 등의 다방면으로 이용되는 화학제품 생산 업체. 화학제품 전용 판매업체를 포함하며, '다각화된 화학제품', '화학비료와 농약', '산업용 가스', '특수 화학제품'으로 분류되는 화학기업 제외"
15,소재,WICS 대분류 (Major Sector),1510,소재,WICS 중분류 (Medium Sector / Industry Group),151010,화학,WICS 소분류 (Minor Sector / Industry),15101020,다각화된 화학제품(Diversified Chemicals),"'산업용 가스', '범용 화학제품', '특수 화학제품' 또는 '화학비료와 농약'으로 분류되지 않은 다각화된 화학 제품군 제조업체"
15,소재,WICS 대분류 (Major Sector),1510,소재,WICS 중분류 (Medium Sector / Industry Group),151010,화학,WICS 소분류 (Minor Sector / Industry),15101030,화학비료와 농약,"다른 부문으로 분류되지 않은 화학비료, 살충제, 가성칼리 또는 기타 농업 관련 화학제품의 생산업체"
15,소재,WICS 대분류 (Major Sector),1510,소재,WICS 중분류 (Medium Sector / Industry Group),151010,화학,WICS 소분류 (Minor Sector / Industry),15101040,산업용 가스,산업용 가스 제조업체
