company_name,stock_code,corp_code,fiscal_year,wics_large,wics_index_name,revenue,revenue_prev,revenue_growth_yoy,operating_income,operating_income_prev,operating_income_growth_yoy,operating_margin,net_income,net_income_prev,net_income_growth_yoy,roe,total_assets,total_liabilities,total_equity,debt_ratio,current_assets,current_liabilities,current_ratio,operating_cash_flow,investing_cash_flow,financing_cash_flow,ocf_to_revenue,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,data_provider
APS,054620,00296078,2025,IT,WICS 반도체와반도체장비,84866669022.0,93965013528.0,-0.0968269376483285,-6849442482.0,-22637555084.0,-0.6974301130760752,-0.0807082752384734,-8682466159.0,-3446806024.0,1.5189889127918037,-0.0397322350003114,377190778721.0,158666294535.0,218524484186.0,0.7260801695793002,111637055384.0,122186911380.0,0.9136580516125,-11736789824.0,41650902563.0,-33974517301.0,-0.1382968126268449,20260327,84429,11083547,9381052,wics_local_fallback
AP시스템,265520,01203808,2025,IT,WICS 디스플레이,460144858180.0,516698011486.0,-0.1094510759647704,33328136683.0,47190207802.0,-0.2937488891161972,0.0724296622911793,23784739380.0,51784131503.0,-0.5406944426861329,0.064709417558995,680939799732.0,313377545624.0,367562254108.0,0.852583588552923,411297628066.0,223897057357.0,1.8369943442811445,33895776250.0,-27122234422.0,8931210334.0,0.0736632728746924,20260327,232219,153256,11137607,wics_local_fallback
AP위성,211270,00874803,2025,IT,WICS 기술하드웨어와장비,,,,,,,,,,,,,,,,,,,,,,,20260327,186553,2658156,10557612,wics_local_fallback
CS,065770,00303703,2025,IT,WICS 기술하드웨어와장비,23640234124.0,37172496286.0,-0.3640396398962465,-1182774586.0,-199946833.0,4.9154454624445085,-0.050032270399523,-998416413.0,1096610761.0,-1.9104565161202172,-0.057229929084882,19055924565.0,1610220386.0,17445704179.0,0.0922989619380499,15926566026.0,1578712920.0,10.088323104367827,-1910969201.0,1381189613.0,-499319846.0,-0.0808354600456325,20260327,12886,2658156,13781902,wics_local_fallback
DB,012030,00163345,2025,IT,WICS 소프트웨어와서비스,643464276938.0,587435690902.0,0.0953782463404101,41599355858.0,29627168728.0,0.40409487791134574,0.0646490525565077,49444247001.0,92786487012.0,-0.4671180190860614,0.1098167491199668,989492189762.0,539248967328.0,450243222434.0,1.1976836972977358,273869260971.0,403019679023.0,0.6795431469622368,15233867779.0,-22063780036.0,-2758853862.0,0.0236747684758696,20260327,175136,365226,102598705,wics_local_fallback
DB하이텍,000990,00160843,2025,IT,WICS 반도체와반도체장비,1397233307039.0,1131167709804.0,0.2352132181010557,277294561174.0,190838683363.0,0.45303120042255624,0.1984597416745234,252582440798.0,229385888355.0,0.10112458359731691,0.1125592478384515,2992581747645.0,748586290599.0,2243995457046.0,0.3335952790138178,1435680643640.0,579178189189.0,2.4788237375622275,356967025481.0,-393629106750.0,67741285713.0,0.2554813313443552,20260327,2551979,11083547,30453211,wics_local_fallback
DMS,068790,00361594,2025,IT,WICS 디스플레이,155471297435.0,167787547562.0,-0.0734038389973425,4236043807.0,30645330986.0,-0.8617719675165136,0.0272464684921731,142187632100.0,35614961268.0,2.992356780344316,0.328355538832099,573797046616.0,140767554847.0,433029491769.0,0.3250761380522613,112457709464.0,97662223541.0,1.1514965089524984,35978498345.0,-5632181950.0,-59629605140.0,0.2314156949776663,20260327,119011,153256,15122050,wics_local_fallback
E8,418620,01516890,2025,IT,WICS 소프트웨어와서비스,1655496540.0,2285497728.0,-0.2756516360886096,-11246126269.0,-10599051201.0,0.06105028230630207,-6.793204333124128,-11426976004.0,-10773219705.0,0.060683464823109726,-0.7826961380464151,25830615223.0,11231110449.0,14599504774.0,0.7692802340118609,12628341318.0,4179719240.0,3.021337222162319,-10113554324.0,5604730138.0,11080443313.0,-6.109076086622325,20260327,15162,365226,11314771,wics_local_fallback
GST,083450,00540863,2025,IT,WICS 반도체와반도체장비,347158632861.0,346227651802.0,0.0026889275138902,59172305188.0,59081495358.0,0.0015370266011336456,0.1704474542382824,45584238109.0,45862225124.0,-0.006061350365107505,0.1496255198850526,386310986387.0,81655482807.0,304655503580.0,0.2680256284474373,246327760717.0,74271007028.0,3.3166072546200294,41591693861.0,-13563928500.0,-11270906897.0,0.1198060192778009,20260327,363928,11083547,13453900,wics_local_fallback
HB솔루션,297890,00523936,2025,IT,WICS 디스플레이,62848643582.0,131531306583.0,-0.5221773035278052,4396138891.0,19341641385.0,-0.7727111777385485,0.0699480313407919,26472222548.0,-20755207602.0,-2.2754496633148156,0.1070367614245934,308900006194.0,61581027222.0,247318978972.0,0.2489943451892215,74624639179.0,27126318557.0,2.7510050441305816,18925369391.0,-24327132384.0,5683941612.0,0.3011261391235541,20260327,103341,153256,51930048,wics_local_fallback
