company_name,company_name_wics,stock_code,corp_code,fiscal_year,wics_large_code,wics_large,wics_index_code,wics_index_name,wics_date,revenue,revenue_prev,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,revenue_growth_yoy,operating_margin,roe,debt_ratio,current_ratio,ocf_to_revenue
APS,APS,054620,00296078,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,39415521257.0,,-3963571695.0,23585855545.0,337092577346.0,149823302982.0,187269274364.0,100483770397.0,68972709797.0,-1568988010.0,-5861697054.0,34844057183.0,,-0.10055865224149711,0.12594621101139944,0.8000420970862774,1.4568627315461888,-0.039806349376170065
AP시스템,AP시스템,265520,01203808,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,528740970343.0,,64305495077.0,57166230146.0,428720088928.0,237177591653.0,191542497275.0,291254254708.0,135594328391.0,63249106032.0,4473567435.0,6098532474.0,,0.12162003454221512,0.2984519412625477,1.2382504928526703,2.147982575407865,0.1196221015197094
AP위성,AP위성,211270,00874803,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,,,,,,,,,,,,,,,,,,
CS,CS,065770,00303703,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,41091897059.0,,228076588.0,-2383876876.0,34448403950.0,13114939968.0,21333463982.0,29574491886.0,12591616149.0,3507027340.0,-11171782151.0,7912527616.0,,0.00555040298267384,-0.11174354422757522,0.6147590461195455,2.34874471521662,0.08534595847362775
DB,DB,012030,00163345,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,326914604920.0,,23472667404.0,21705064303.0,601998919354.0,164214796554.0,437784122800.0,84468030488.0,50552473976.0,18587524770.0,-1050624941.0,-19402734170.0,,0.07180060802038517,0.04957937753470305,0.37510450471275064,1.6708980559112014,0.056857431544083493
DB하이텍,DB하이텍,000990,00160843,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,1214682040178.0,,399106778303.0,316891852008.0,1549937895854.0,443888189808.0,1106049706046.0,815161899425.0,335336853432.0,393129114790.0,-252766500051.0,-4884073073.0,,0.3285689300588611,0.28650778556856343,0.4013275238730898,2.430874778844728,0.3236477545452065
DMS,DMS,068790,00361594,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,225393632210.0,,32010203266.0,35211009511.0,420478119156.0,135689125629.0,284788993527.0,254321460179.0,134194460550.0,24810140816.0,18030413822.0,-36254052860.0,,0.14201911097548658,0.12363894079938081,0.4764549498509173,1.8951710758898386,0.11007471938197574
E8,E8,418620,01516890,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,,,,,,,,,,,,,,,,
GST,GST,083450,00540863,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,304487495915.0,,46406987615.0,38970170642.0,206243424515.0,54879817695.0,151363606820.0,142215175118.0,50358905379.0,25550968576.0,-19440851230.0,-94528014.0,,0.15241015883277803,0.2574606370760107,0.36256943692061,2.8240322947389696,0.08391467274942793
HB솔루션,HB솔루션,297890,00523936,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,46773127251.0,,667762433.0,6084585788.0,159048274411.0,55183358050.0,103864916361.0,100829569868.0,19256009315.0,-23280140107.0,26521381.0,39122697034.0,,0.014276625751717797,0.05858172327267851,0.5312993066706081,5.236265116960451,-0.497724686700359
HB테크놀러지,HB테크놀러지,078150,00255275,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,158891163240.0,,-22453000633.0,9331405462.0,278954414965.0,98450624931.0,180503790034.0,106088528601.0,40383083218.0,-19094882521.0,-59163011731.0,34901516038.0,,-0.14131056866318906,0.05169645169357563,0.545421372661791,2.6270537102950335,-0.12017586209094457
HLB이노베이션,HLB이노베이션,024850,00155586,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,38320275890.0,,-2729229627.0,-3804535712.0,33516172725.0,18574889219.0,14941283506.0,21678006657.0,11674066501.0,2240105331.0,-1168778792.0,-209094782.0,,-0.07122155474126468,-0.25463245580422894,1.243192340975315,1.8569370540370884,0.0584574426716112
HPSP,HPSP,403870,01288827,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
ISC,ISC,095340,00572905,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,144669824213.0,,37517372870.0,30084735108.0,261724660673.0,39149163367.0,222575497306.0,98338761170.0,34848239520.0,39254158334.0,-4047972401.0,-21473755628.0,,0.2593310185734552,0.13516642879444665,0.17589161359112754,2.8219147516350636,0.27133618601903736
KEC,KEC,092220,00589127,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,267472591083.0,,26525638383.0,10173157277.0,400589167116.0,121440786125.0,279148380991.0,200544236084.0,97809214207.0,27220832885.0,-16495517075.0,-6256391378.0,,0.09917142640895407,0.03644354748139482,0.4350402667351145,2.050361386807333,0.10177055067505232
