variant,label,trading_days,total_return,cagr,annual_volatility,sharpe_zero_rf,sortino_zero_rf,calmar,max_drawdown,positive_day_rate,profit_factor_daily,best_day,worst_day,average_daily_turnover,annualized_turnover,total_cost_ratio,final_equity_multiple,average_exposure,hard_stop_count,trailing_stop_count,reentry_blocked_sessions,confirmed_reentries
A0_LEGACY,기존 연구 리플레이,121,0.13733020784152772,0.3073500075726143,0.47346367341173196,0.8028816287535382,1.1141539528057895,1.3695326285333287,-0.22441963131741094,0.5454545454545454,1.1431952835440757,0.06635615468759944,-0.10469062560587085,0.08374357993538491,21.103382143716996,0.020177921212840632,1.1373302078415277,0.8905027771917181,0,0,0,0
X_CAP15_ONLY,진단: 15% 상한만,121,0.005374935920752888,0.011226656232706578,0.41199009368418316,0.23395085509383168,0.2877561395817173,0.06470589915260513,-0.1735028240041786,0.5619834710743802,1.0425234027045132,0.08967470336645435,-0.11576144825470532,0.06885234720171741,17.350791494832787,0.017115455147689067,1.0053749359207529,0.7162368934451976,0,0,0,0
A_CURRENT,현재 규칙 근사,121,-0.029477798026025126,-0.06041295069085795,0.3354421307073375,-0.01812928741726912,-0.023359847181615163,-0.3068808023894885,-0.19686129018322474,0.5454545454545454,0.9969064446432034,0.0716913703272038,-0.07124167317869572,0.13833638819751234,34.86076982577311,0.03433367356237691,0.9705222019739749,0.6030720244007051,26,34,0,0
X_COOLDOWN5,진단: 현재+5일 재진입 금지,121,-0.09112362789031203,-0.1804409085572809,0.287164115500265,-0.5482901202993165,-0.6457519298988733,-0.7853945562243024,-0.22974555543742325,0.512396694214876,0.9083203797383257,0.03592425096828571,-0.07643410912669207,0.1107267487665966,27.903140689182344,0.027483064538330777,0.908876372109688,0.4756370810381539,14,26,0,0
R_EXIT_RECOVERY,청산가 회복 2일 확인,121,-0.028117454824554744,-0.05766806276369385,0.26805214841179026,-0.08677501175219562,-0.09780564722957252,-0.2966833736237057,-0.1943757820309686,0.5289256198347108,0.9844019177197475,0.03672880332663217,-0.07385313885245706,0.09062165643419673,22.836657421417577,0.022477530010291194,0.9718825451754453,0.4147615284120874,15,22,523,17
R_TREND_REARM,추세 재무장 3일 확인,121,0.024768664829049047,0.052276429953387105,0.25131152156420844,0.32862843132553143,0.3658836807043482,0.34334356703881985,-0.15225690815834192,0.47107438016528924,1.0645275404270182,0.039589477831623615,-0.059836858474161106,0.07840852548390181,19.758948421943256,0.01945378935194047,1.024768664829049,0.3711453679328354,12,20,556,12
B_EQUAL,동일 비중,121,-0.054015018976537044,-0.10920977066372906,0.3268453198068191,-0.1909031761179227,-0.26022398785358025,-0.6010056390327518,-0.18171172376932998,0.5371900826446281,0.9682501296252191,0.07390752528198673,-0.06777243883376538,0.14606415143168822,36.80816616078543,0.036225975137527594,0.945984981023463,0.5981867794902601,24,34,0,0
C_CAP10,종목 상한 10%,121,-0.002117605064771655,-0.004405163643502075,0.24951967080612653,0.10675930049532543,0.1377381625684443,-0.03621159126620709,-0.12165065078520876,0.5454545454545454,1.0181851931096506,0.05125260091073587,-0.047850287732817715,0.09465723812520671,23.853624007552092,0.023509300258779897,0.9978823949352283,0.463071811016349,17,37,0,0
C_CAP08,종목 상한 8%,121,-0.013271347321056615,-0.02744100874108457,0.2016202261018961,-0.037228222868395076,-0.04269047015051415,-0.20752033350265733,-0.13223286739144136,0.5619834710743802,0.9933248790183203,0.04316590345661925,-0.05234057026748932,0.07427550286852583,18.71742672286851,0.0184342017968136,0.9867286526789434,0.34511584797947864,17,36,0,0
D_BAND20,리밸런싱 밴드 20%,121,-0.0042689817386449835,-0.008870228663088064,0.34231682202786,0.1445748632875008,0.19767739719692912,-0.045284708744166936,-0.1958769065558057,0.5454545454545454,1.0245420399610894,0.06471151264562737,-0.06782547640667062,0.14747846868241424,37.164574107968384,0.036565229201042604,0.995731018261355,0.6131913625304584,21,35,0,0
E_VOL_RISK,변동성 조절·강화 손절,121,-0.05445600266486095,-0.1100743787542422,0.19995961195559933,-0.4831229792076534,-0.5533534019509008,-0.711938371712862,-0.15461222927121177,0.49586776859504134,0.9151205019027437,0.025212855806136702,-0.04643102566691846,0.0892594082322884,22.493370874536676,0.022141145768515343,0.945543997335139,0.30870282275772903,21,39,0,0
