,variant,annualized_alpha_vs_current,tracking_error_vs_current,information_ratio_vs_current,bootstrap_alpha_ci_low,bootstrap_alpha_ci_high
0,A0_LEGACY,0.702816966032708,0.23181948772019276,3.031742382594735,0.5043355579736619,1.2683407387217907
1,X_CAP15_ONLY,0.44166230689998714,0.16726864779299375,2.6404368823891855,0.2397545258004706,0.8720888888318988
2,A_CURRENT,0.0,0.0,0.0,0.0,0.0
3,X_COOLDOWN5,-0.054024017521101336,0.17084573976900191,-0.3162151868354835,-0.6393485876066721,0.3363576360701216
4,R_EXIT_RECOVERY,0.1137747252420582,0.19426401499643564,0.585670615549389,-0.30163776215810656,0.6093554532058031
5,R_TREND_REARM,-0.03049340064911197,0.17253518956625752,-0.17673728313493867,-0.5007447013689948,0.4994299936565595
6,B_EQUAL,-0.11438154002319881,0.12468203587771144,-0.9173858865713791,-0.40626650737617437,0.07993346715898289
7,C_CAP10,0.034043195404152,0.1594431535261416,0.21351305873770507,-0.3237721033515892,0.5669359425682552
8,C_CAP08,-0.025843921625300963,0.17091519123589646,-0.1512090378767519,-0.5554826359691617,0.456374041496821
9,D_BAND20,0.3149900066685386,0.14477667982276468,2.1756957477830596,0.025263494785011366,0.6391463147656727
10,E_VOL_RISK,-0.1022879364822302,0.19494172285088537,-0.524710333869739,-0.6791503446675995,0.46345746728697557
