variant,label,trading_days,total_return,cagr,annual_volatility,sharpe_zero_rf,sortino_zero_rf,calmar,max_drawdown,positive_day_rate,profit_factor_daily,best_day,worst_day,average_daily_turnover,annualized_turnover,total_cost_ratio,final_equity_multiple,average_exposure,hard_stop_count,trailing_stop_count,reentry_blocked_sessions,confirmed_reentries
A0_LEGACY,기존 연구 리플레이,107,0.3006630696267143,0.857266093505664,0.45984096078816855,1.5783193080317173,2.012215444258931,5.2025152037143965,-0.16477916160506534,0.5700934579439252,1.3153450447941886,0.06718816112646005,-0.11902334532259058,0.08263131562772971,20.82309153818789,0.017445270125394166,1.3006630696267143,0.8486633621848512,0,0,0,0
X_CAP15_ONLY,진단: 15% 상한만,107,0.17914247834256192,0.474173614983171,0.39093528231729835,1.1884862505860925,1.5260877516207472,3.221864877822458,-0.14717365034366303,0.5981308411214953,1.2242706555489133,0.08634098431048369,-0.08067642677870183,0.07026648276886054,17.707153657752855,0.014803577901862115,1.179142478342562,0.7324683297066859,0,0,0,0
A_CURRENT,현재 규칙 근사,107,-0.013701366322538266,-0.03196955511818356,0.33219792717410074,0.06911211396897517,0.08232866916496404,-0.16219959026512193,-0.19710009788513028,0.5700934579439252,1.011961335903711,0.04968950570411967,-0.0845844397072635,0.13146567070898932,33.12934901866531,0.028585328630748863,0.9862986336774617,0.558484803523325,16,48,0,0
X_COOLDOWN5,진단: 현재+5일 재진입 금지,107,-0.03487466905925729,-0.08020194642889988,0.3224016971867522,-0.0963553132289894,-0.10344084913076348,-0.398213890771347,-0.2014041907818619,0.5607476635514018,0.9823978412495025,0.06019016893776121,-0.09648773175617305,0.11145176706416153,28.085845300168707,0.024214038707875054,0.9651253309407427,0.5246725452397014,26,28,0,0
R_EXIT_RECOVERY,청산가 회복 2일 확인,107,0.04162331565660016,0.10080695242210225,0.2844333128128612,0.4807229676895626,0.5153110621884213,0.7258216209103383,-0.1388866761721267,0.5420560747663551,1.0943273744449489,0.047330752623268635,-0.07411839927760856,0.08818106676507505,22.221628824798913,0.019108667400526726,1.0416233156566002,0.44424330548490765,7,33,396,13
R_TREND_REARM,추세 재무장 3일 확인,107,-0.019182651041851795,-0.044591966984336096,0.2749884703899604,-0.027399329271199025,-0.028692640714648967,-0.2861658541514296,-0.1558256037100062,0.45794392523364486,0.9946420241790588,0.03971138679630814,-0.08104372405141888,0.0763250530905297,19.233913378813483,0.016497850832482633,0.9808173489581482,0.4168832074070134,13,34,401,9
B_EQUAL,동일 비중,107,-0.06555132806166919,-0.14757935457357518,0.36662420317659483,-0.249363348704091,-0.2772586253348062,-0.7364886678883756,-0.20038238333891478,0.5794392523364486,0.9571827003193037,0.05175038848968331,-0.11261552986349123,0.14704550760621546,37.0554679167663,0.032054173837686106,0.9344486719383308,0.6408885548418751,26,46,0,0
C_CAP10,종목 상한 10%,107,0.01180203575221217,0.028018030685158957,0.24276738783699123,0.23480129236114985,0.3016759292453066,0.22387517329342363,-0.1251502356111498,0.5420560747663551,1.0408405641322602,0.04742559151317874,-0.05459956999779647,0.08605106813918628,21.684869171074943,0.018702019658134155,1.0118020357522122,0.42938250905048664,21,44,0,0
C_CAP08,종목 상한 8%,107,-0.009811639783748327,-0.022954343598357685,0.20200696064748125,-0.0142817881767025,-0.01743880020403732,-0.1895869526304366,-0.12107554491422612,0.5514018691588785,0.9974772836733082,0.03793361335031901,-0.04990463191603565,0.06898808829616665,17.384998250633995,0.015008090070685005,0.9901883602162517,0.3457313086114692,25,40,0,0
D_BAND20,리밸런싱 밴드 20%,107,0.12470933236830706,0.31888539415486594,0.34896603848303026,0.9684292177563482,1.150915604826061,1.8922204182947895,-0.168524444124874,0.5794392523364486,1.1853502788841543,0.07155184041395941,-0.08805866416088251,0.11650860446512915,29.360168325212545,0.02509170936067954,1.124709332368307,0.5856062430606205,23,40,0,0
E_VOL_RISK,변동성 조절·강화 손절,107,-0.04176917454555029,-0.09560203500475506,0.20572045758052565,-0.38561568651024447,-0.4292606993859741,-0.5838613512698069,-0.1637409888440734,0.45794392523364486,0.9302950883616571,0.028891441559857373,-0.0456683081798994,0.08677654754570623,21.86768998151797,0.01875101723280217,0.9582308254544497,0.3173833276102047,23,35,0,0
