date,CANCELLED,EXPIRED_UNFILLED,FILLED,PARTIAL,REJECTED,filled_orders,fill_notional,modeled_cost,recorded_slippage
2026-07-03,2,0,64,4,0,68,499353400.0,74903.01,0.0
2026-07-06,0,0,7,0,0,7,10661000.0,10744.05,0.0
2026-07-09,0,3,50,0,192,50,2846790640.0,3046451.082,0.0
2026-07-10,0,4,40,0,121,40,274045050.0,291217.6935,53477.75
2026-07-13,12,0,12,0,1,12,242370610.0,335325.3495,1119450.0
2026-07-14,0,0,11,0,6,11,203788750.0,214409.0625,5359100.0
2026-07-15,0,0,7,0,2,7,251267350.0,294301.6125,-2273750.0
2026-07-21,0,0,5,0,2,5,231379300.0,275342.595,-697200.0
2026-07-22,0,0,2,0,1,2,97645750.0,133675.01249999998,148350.0
2026-07-23,0,0,3,0,1,3,203184700.0,272777.865,86100.0
