timestamp,order_id,symbol,stock_name,side,status,filled_qty,fill_price,fill_amount,cost,cost_source,cash_delta,position_delta,cash_after,position_after
2026-07-09T14:43:59.701853+09:00,4a724f4d-2046-4e1a-96c6-da395b5c3159,021240,코웨이,BUY,FILLED,1317.0,91700.0,120768900.0,18115.335,MODELED,-120787015.335,1317.0,379212984.665,1317.0
2026-07-09T14:44:00.639045+09:00,c8bdd4d8-bc7f-40cd-8e80-2b3bdbf9464d,402340,SK스퀘어,BUY,FILLED,146.0,1270000.0,185420000.0,27813.0,MODELED,-185447813.0,146.0,193765171.66500002,146.0
2026-07-09T14:44:10.080724+09:00,caaaaf23-fd64-42e9-8010-abcc85b63c4c,011070,LG이노텍,BUY,FILLED,164.0,763000.0,125132000.0,18769.8,MODELED,-125150769.8,164.0,68614401.86500002,164.0
2026-07-09T14:44:14.825028+09:00,87e63d88-95a6-459d-89e1-5055c58c18a7,064400,LG씨엔에스,BUY,FILLED,913.0,71200.0,65005600.0,9750.839999999998,MODELED,-65015350.84,913.0,3599051.025000021,913.0
2026-07-09T14:44:21.687101+09:00,b4fa2db0-32b0-46ab-ad60-56853a88805b,009420,한올바이오파마,BUY,FILLED,870.0,58700.0,51069000.0,7660.349999999999,MODELED,-51076660.35,870.0,-47477609.32499998,870.0
2026-07-09T14:44:54.040516+09:00,39bc8180-6531-4dda-86f2-25a14f04c091,161390,한국타이어앤테크놀로지,BUY,FILLED,827.0,73000.0,60371000.0,9055.65,MODELED,-60380055.65,827.0,-107857664.97499998,827.0
2026-07-09T14:47:10.999924+09:00,e24d6759-6d1d-4488-ae0f-92927317bb68,064400,LG씨엔에스,BUY,FILLED,913.0,71200.0,65005600.0,9750.839999999998,MODELED,-65015350.84,913.0,-172873015.815,1826.0
2026-07-09T14:48:00.944910+09:00,27e120d1-18e1-42af-aba9-304f91ec8a0b,161390,한국타이어앤테크놀로지,BUY,FILLED,827.0,73000.0,60371000.0,9055.65,MODELED,-60380055.65,827.0,-233253071.465,1654.0
2026-07-09T15:02:36.857889+09:00,750d1153-87f5-4cca-b7dc-26fae25bb283,009150,삼성전기,BUY,FILLED,127.0,1479000.0,187833000.0,28174.95,MODELED,-187861174.95,127.0,-421114246.41499996,127.0
2026-07-09T15:03:51.202514+09:00,1df45f48-0e42-404a-8f93-1a66dd1adce8,009420,한올바이오파마,BUY,FILLED,883.0,58700.0,51832100.0,7774.815,MODELED,-51839874.815,883.0,-472954121.22999996,1753.0
