,variant,annualized_alpha_vs_current,tracking_error_vs_current,information_ratio_vs_current,bootstrap_alpha_ci_low,bootstrap_alpha_ci_high
0,A0_LEGACY,0.09884666667589165,0.11655803619236894,0.8480467748508888,-0.001955434830229326,0.24249623594679373
1,X_CAP15_ONLY,0.04245049661697057,0.05929896201294423,0.7158725073080394,-0.009198391438789968,0.09330787037115056
2,A_CURRENT,0.0,0.0,0.0,0.0,0.0
3,F_CAP15_HARD20_BAND20,0.05688535427980695,0.05587207877571332,1.0181356327936393,0.0166695817657487,0.11040960827787637
4,X_COOLDOWN5,-0.016184861586236138,0.0979080654869664,-0.1653067242799387,-0.1039951308562359,0.058870292280607105
5,R_EXIT_RECOVERY,-0.008176930919375965,0.10865494004520533,-0.07525595169417972,-0.11767001365945784,0.08186752636376798
6,R_TREND_REARM,-0.032507074146112695,0.11975089583752285,-0.27145579094638306,-0.13017719110984532,0.047816054589745284
7,B_EQUAL,-0.0008467272829980493,0.01867251265971108,-0.04534618872290275,-0.015485964679017482,0.013619488187108078
8,C_CAP10,-0.02127861607143185,0.06202139012437514,-0.34308511996845914,-0.0941828936390527,0.03756647209631011
9,C_CAP08,-0.031179259070797865,0.08910234274933743,-0.34992636679050415,-0.13932350611158414,0.056809033046659276
10,D_BAND20,-1.5924171193224776e-05,0.00842263827593702,-0.0018906393307568715,-0.009756243312289803,0.009046037039555232
11,E_VOL_RISK,-0.06936570127990156,0.12470953117542832,-0.5562181224330413,-0.18771627426824314,0.03422543078729951
