,variant,annualized_alpha_vs_current,tracking_error_vs_current,information_ratio_vs_current,bootstrap_alpha_ci_low,bootstrap_alpha_ci_high
0,A0_LEGACY,0.38792195628858983,0.20806857083264213,1.8643947749350909,0.006532725948928705,1.1451743737652826
1,X_CAP15_ONLY,0.13993229432800325,0.12480228181950903,1.1212318580070153,-0.03011561272151489,0.39527955602185366
2,A_CURRENT,0.0,0.0,0.0,0.0,0.0
3,F_CAP15_HARD20_BAND20,0.1923595822645725,0.12114711984610985,1.5878180390002012,0.05923728611297275,0.4833656982041171
4,X_COOLDOWN5,-0.0742646268701849,0.18035370143982724,-0.41177212487076326,-0.6577194594431245,0.3389457225369773
5,R_EXIT_RECOVERY,-0.009118479627647337,0.21082178431248227,-0.04325207500441145,-0.7907667685108014,0.476151279200265
6,R_TREND_REARM,0.054794397109903595,0.2307104028333527,0.2375029319743454,-0.6124945772497395,0.5238023286816248
7,B_EQUAL,0.025066002707895003,0.01762900858915287,1.421861165994219,0.002426996655933501,0.06060217153139268
8,C_CAP10,0.0029128099539419187,0.10696202551763476,0.027232187683858752,-0.29953849160936946,0.25263014342341045
9,C_CAP08,0.015141833665965596,0.1576265176620693,0.09606146155196876,-0.4004639823050137,0.39332929123266014
10,D_BAND20,0.024010485149013428,0.012745926253874258,1.8837771905133367,-0.0018873197149792142,0.057512683162358434
11,E_VOL_RISK,-0.12724340406888238,0.23405458961319425,-0.5436484039008537,-0.7079883567391545,0.40356528738361486
