,date,variant,ticker,previous_weight,target_weight,delta_weight,price,reason
0,2026-01-30,A0_LEGACY,000880,0.0,0.3207474201377242,0.3207474201377242,113370.40625,ENTRY
1,2026-01-30,A0_LEGACY,012330,0.0,0.13405023578855982,0.13405023578855982,443779.0625,ENTRY
2,2026-01-30,A0_LEGACY,078930,0.0,0.2017454272804404,0.2017454272804404,65888.265625,ENTRY
3,2026-01-30,A0_LEGACY,086280,0.0,0.09330834040370158,0.09330834040370158,235936.9375,ENTRY
4,2026-01-30,A0_LEGACY,161390,0.0,0.15014857638957402,0.15014857638957402,61857.757813,ENTRY
5,2026-01-30,X_CAP15_ONLY,000880,0.0,0.15,0.15,113370.40625,ENTRY
6,2026-01-30,X_CAP15_ONLY,012330,0.0,0.15,0.15,443779.0625,ENTRY
7,2026-01-30,X_CAP15_ONLY,078930,0.0,0.15,0.15,65888.265625,ENTRY
8,2026-01-30,X_CAP15_ONLY,086280,0.0,0.15,0.15,235936.9375,ENTRY
9,2026-01-30,X_CAP15_ONLY,161390,0.0,0.15,0.15,61857.757813,ENTRY
10,2026-01-30,A_CURRENT,000880,0.0,0.15,0.15,113370.40625,ENTRY
11,2026-01-30,A_CURRENT,012330,0.0,0.15,0.15,443779.0625,ENTRY
12,2026-01-30,A_CURRENT,078930,0.0,0.15,0.15,65888.265625,ENTRY
13,2026-01-30,A_CURRENT,086280,0.0,0.15,0.15,235936.9375,ENTRY
14,2026-01-30,A_CURRENT,161390,0.0,0.15,0.15,61857.757813,ENTRY
15,2026-01-30,X_COOLDOWN5,000880,0.0,0.15,0.15,113370.40625,ENTRY
16,2026-01-30,X_COOLDOWN5,012330,0.0,0.15,0.15,443779.0625,ENTRY
17,2026-01-30,X_COOLDOWN5,078930,0.0,0.15,0.15,65888.265625,ENTRY
18,2026-01-30,X_COOLDOWN5,086280,0.0,0.15,0.15,235936.9375,ENTRY
19,2026-01-30,X_COOLDOWN5,161390,0.0,0.15,0.15,61857.757813,ENTRY
20,2026-01-30,R_EXIT_RECOVERY,000880,0.0,0.15,0.15,113370.40625,ENTRY
21,2026-01-30,R_EXIT_RECOVERY,012330,0.0,0.15,0.15,443779.0625,ENTRY
22,2026-01-30,R_EXIT_RECOVERY,078930,0.0,0.15,0.15,65888.265625,ENTRY
23,2026-01-30,R_EXIT_RECOVERY,086280,0.0,0.15,0.15,235936.9375,ENTRY
24,2026-01-30,R_EXIT_RECOVERY,161390,0.0,0.15,0.15,61857.757813,ENTRY
25,2026-01-30,R_TREND_REARM,000880,0.0,0.15,0.15,113370.40625,ENTRY
26,2026-01-30,R_TREND_REARM,012330,0.0,0.15,0.15,443779.0625,ENTRY
