variant,label,trading_days,total_return,cagr,annual_volatility,sharpe_zero_rf,sortino_zero_rf,calmar,max_drawdown,positive_day_rate,profit_factor_daily,best_day,worst_day,average_daily_turnover,annualized_turnover,total_cost_ratio,final_equity_multiple,average_exposure,hard_stop_count,trailing_stop_count,reentry_blocked_sessions,confirmed_reentries
A0_LEGACY,기존 연구 리플레이,122,0.10330695639374365,0.2251590542931925,0.46378852541335785,0.6702535928797372,0.8935975459452655,1.0810657020643522,-0.20827508805731176,0.5409836065573771,1.1192925784931296,0.06721920713617105,-0.10670136737166883,0.09984615459064697,25.161230956843035,0.024169741908294795,1.1033069563937437,0.882906658624362,0,0,0,0
X_CAP15_ONLY,진단: 15% 상한만,122,-0.01005771160633051,-0.020663644845049345,0.4082107128854429,0.15400444317039302,0.19004772875798895,-0.11737306935343368,-0.17605098817708342,0.5491803278688525,1.0278528352171141,0.07872374811797439,-0.11737643250171158,0.07559588957910478,19.050164173934405,0.01852970323174513,0.9899422883936695,0.7405622562185503,0,0,0,0
A_CURRENT,현재 규칙 근사,122,-0.06693732780274086,-0.13334036463900334,0.3636210208035249,-0.21194052704541663,-0.2757837074899467,-0.6783788202642442,-0.19655738159258007,0.5245901639344263,0.9639882818701582,0.08606471806711606,-0.07173786933186244,0.17405406478959823,43.861624326978756,0.043127507331087854,0.9330626721972591,0.6597173538248915,20,36,0,0
F_CAP15_HARD20_BAND20,PAPER 복구: 15% 상한·20% 하드스톱·20% 밴드,122,0.014716145274253023,0.030635692088400335,0.41159118566282216,0.2801166679140942,0.3507229761379147,0.17562415701046324,-0.1744389417144655,0.5491803278688525,1.0506948864472645,0.08072480662382436,-0.11847916693487263,0.07908841680514794,19.93028103489728,0.01939380730924069,1.014716145274253,0.7370478346217152,6,0,0,0
X_COOLDOWN5,진단: 현재+5일 재진입 금지,122,-0.09180855268195132,-0.18038037169639365,0.30756030946320717,-0.49203571789935374,-0.5971118409737118,-0.8589956073816369,-0.20998986507768458,0.4918032786885246,0.9172894403534703,0.03896516780112735,-0.07122036933186243,0.12999563651111223,32.758900400800286,0.03225468463656293,0.9081914473180487,0.5296968617299851,12,28,0,0
R_EXIT_RECOVERY,청산가 회복 2일 확인,122,-0.058444082652090446,-0.11696640729218333,0.27541512006880275,-0.31292584953218494,-0.3470895009093589,-0.5953308938765953,-0.19647293378399577,0.5245901639344263,0.9443899888831525,0.0389044737023427,-0.07122036933186243,0.10423621385494519,26.267525891446187,0.025790927714984358,0.9415559173479096,0.4427762155817126,13,21,524,21
R_TREND_REARM,추세 재무장 3일 확인,122,-0.027519410451710802,-0.05601044054744975,0.26538014629357765,-0.08392351121605644,-0.0916569120895371,-0.28842203427324753,-0.19419612197307412,0.4672131147540984,0.9839468702202957,0.03896516780112735,-0.07122036933186243,0.08953618477915376,22.56311856434675,0.022120392266269242,0.9724805895482892,0.3830748347166312,12,17,581,15
B_EQUAL,동일 비중,122,-0.05506558781783899,-0.11040911396030162,0.3607577104835881,-0.14414114120053445,-0.18796123645396492,-0.5638717271637348,-0.19580537317530988,0.5327868852459017,0.9754526607073882,0.08531108993919878,-0.07087497180624491,0.1714647075464588,43.209106301707614,0.04247854798096106,0.944934412182161,0.6575787495263806,20,36,0,0
C_CAP10,종목 상한 10%,122,-0.0510830341080023,-0.1026472644751486,0.2615225817318667,-0.28354423678784774,-0.35913378936008694,-0.6569695690764941,-0.1562435602906851,0.5327868852459017,0.9520510957885372,0.05718605614526893,-0.053284174273894994,0.10944437985744487,27.579983724076108,0.027108999815315834,0.9489169658919977,0.4790246271547248,20,36,0,0
C_CAP08,종목 상한 8%,122,-0.03969100563028327,-0.08025250049646704,0.20876010827377314,-0.29662849689039666,-0.37600839722781304,-0.6331968851336355,-0.12674178029086458,0.5327868852459017,0.949909687230809,0.0455887087492325,-0.04262989435245603,0.0874944368725119,22.048598091873,0.02166658096126484,0.9603089943697167,0.3832288972819316,20,36,0,0
D_BAND20,리밸런싱 밴드 20%,122,-0.05628479296754052,-0.11277834556169553,0.36521003351077536,-0.14527406362539796,-0.18941664406405512,-0.5675387393800224,-0.1987147973103902,0.5245901639344263,0.9752533459832138,0.08614542366300322,-0.07167180043577302,0.17102617522201882,43.09859615594874,0.042369322640859,0.9437152070324595,0.6669211508449491,20,36,0,0
E_VOL_RISK,변동성 조절·강화 손절,122,-0.10320472143798465,-0.2014822977260291,0.20264642329934737,-1.0082064688650831,-1.109241160714103,-1.0604419676559818,-0.18999841940562656,0.45081967213114754,0.8239489053251875,0.026720652081289997,-0.05696048145296495,0.0998049355450602,25.150843757355172,0.02475979630266717,0.8967952785620154,0.326392478655491,19,33,0,0
